id_beneficiaire,annee,region,code_region,province,milieu,genre,age,tranche_age,operateur,niveau_formation,heures_formation,formation_completee,score_evaluation_final
ALP500099,2020,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Féminin,17,15-24,ANLCA,Niveau 3 (avancé),136,0,31.3
ALP500100,2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Féminin,15,,ANLCA,Niveau 2 (intermédiaire),98,1,61.5
ALP500101,2017,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Féminin,60,50-64,ONG,Niveau 3 (avancé),129,0,61.3
ALP500102,2023,Casablanca-Settat,CAS,Berrechid,Urbain,Masculin,52,50-64,Entreprise,Niveau 3 (avancé),137,1,68.7
ALP500103,2018,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Féminin,42,35-49,ONG,Niveau 2 (intermédiaire),183,1,29.0
ALP500104,2023,Souss-Massa,SOU,Tata,Rural,Féminin,35,25-34,Association partenaire,Niveau 1 (débutant),45,1,91.0
ALP500105,2016,Oriental,ORI,Nador,Rural,Féminin,22,15-24,Entreprise,Niveau 1 (débutant),152,1,73.2
ALP500106,2016,Oriental,ORI,Nador,Rural,Masculin,48,35-49,Entreprise,Niveau 2 (intermédiaire),50,0,93.6
ALP500107,2016,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Masculin,49,35-49,ANLCA,Niveau 2 (intermédiaire),171,1,37.8
ALP500108,2019,Fès-Meknès,FES,Taza,Urbain,Féminin,20,15-24,ONG,Niveau 3 (avancé),132,1,56.9
ALP500109,2019,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Féminin,42,35-49,ONG,Niveau 1 (débutant),183,1,76.2
ALP500110,2021,Fès-Meknès,FES,Taza,Rural,Masculin,51,50-64,Entreprise,Niveau 1 (débutant),77,1,39.4
ALP500111,2022,Casablanca-Settat,CAS,Sidi Bennour,Rural,Masculin,52,50-64,ANLCA,Niveau 2 (intermédiaire),128,1,77.0
ALP500112,2018,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Féminin,42,35-49,ONG,Niveau 2 (intermédiaire),91,1,73.0
ALP500113,2017,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Féminin,61,50-64,Mosquée,Niveau 1 (débutant),121,0,67.1
ALP500114,2019,Fès-Meknès,FES,Boulemane,Rural,Féminin,17,15-24,ONG,Niveau 2 (intermédiaire),80,1,78.6
ALP500115,2015,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Féminin,15,,Mosquée,Niveau 3 (avancé),59,1,87.3
ALP500116,2019,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,57,50-64,ANLCA,Niveau 2 (intermédiaire),137,0,59.2
ALP500117,2019,Fès-Meknès,FES,Ifrane,Rural,Féminin,42,35-49,ONG,Niveau 1 (débutant),129,1,55.1
ALP500118,2015,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Féminin,64,50-64,Association partenaire,Niveau 1 (débutant),127,1,88.5
ALP500119,2023,Casablanca-Settat,CAS,Settat,Rural,Féminin,54,50-64,ANLCA,Niveau 3 (avancé),89,0,55.5
ALP500120,2018,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Masculin,57,50-64,ONG,Niveau 2 (intermédiaire),86,1,57.3
ALP500121,2021,Marrakech-Safi,MAR,Safi,Urbain,Féminin,37,35-49,Association partenaire,Niveau 3 (avancé),143,0,91.0
ALP500122,2017,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Féminin,18,15-24,Entreprise,Niveau 1 (débutant),142,1,75.6
ALP500123,2017,Souss-Massa,SOU,Tiznit,Rural,Masculin,54,50-64,ANLCA,Niveau 2 (intermédiaire),179,1,54.1
ALP500124,2015,Guelmim-Oued Noun,GUE,Sidi Ifni,Rural,Féminin,19,15-24,ANLCA,Niveau 2 (intermédiaire),156,0,52.0
ALP500125,2021,Laâyoune-Sakia El Hamra,LAA,Tarfaya,Rural,Féminin,18,15-24,ANLCA,Niveau 2 (intermédiaire),100,1,89.2
ALP500126,2020,Oriental,ORI,Oujda-Angad,Rural,Masculin,35,25-34,ANLCA,Niveau 1 (débutant),134,1,69.9
ALP500127,2023,Marrakech-Safi,MAR,Youssoufia,Urbain,Féminin,28,25-34,Association partenaire,Niveau 1 (débutant),180,0,57.9
ALP500128,2020,Casablanca-Settat,CAS,Sidi Bennour,Rural,Féminin,18,15-24,Association partenaire,Niveau 2 (intermédiaire),45,1,19.9
ALP500129,2016,Drâa-Tafilalet,DRA,Midelt,Rural,Féminin,28,25-34,Mosquée,Niveau 2 (intermédiaire),64,0,63.3
ALP500130,2022,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Féminin,20,15-24,Entreprise,Niveau 3 (avancé),71,1,100.0
ALP500131,2019,Fès-Meknès,FES,Fès,Rural,Masculin,17,15-24,ANLCA,Niveau 1 (débutant),78,0,65.0
ALP500132,2023,Casablanca-Settat,CAS,Berrechid,Rural,Féminin,34,25-34,ANLCA,Niveau 2 (intermédiaire),58,0,40.4
ALP500133,2017,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Féminin,37,35-49,Association partenaire,Niveau 1 (débutant),124,1,41.5
ALP500134,2021,Casablanca-Settat,CAS,El Jadida,Rural,Masculin,53,50-64,Association partenaire,Niveau 1 (débutant),45,1,58.7
ALP500135,2019,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Féminin,36,35-49,Entreprise,Niveau 2 (intermédiaire),133,0,41.8
ALP500136,2020,Fès-Meknès,FES,Boulemane,Rural,Féminin,20,15-24,ONG,Niveau 2 (intermédiaire),182,1,57.8
ALP500137,2021,Fès-Meknès,FES,Taounate,Urbain,Féminin,19,15-24,ONG,Niveau 1 (débutant),64,0,61.9
ALP500138,2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Masculin,24,15-24,Mosquée,Niveau 2 (intermédiaire),155,1,62.2
ALP500139,2022,Fès-Meknès,FES,Taza,Rural,Féminin,37,35-49,ANLCA,Niveau 2 (intermédiaire),61,0,41.8
ALP500140,2021,Fès-Meknès,FES,Taza,Rural,Féminin,61,50-64,ONG,Niveau 2 (intermédiaire),50,1,61.1
ALP500141,2020,Oriental,ORI,Driouch,Urbain,Féminin,30,25-34,ANLCA,Niveau 1 (débutant),160,0,73.2
ALP500142,2016,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,18,15-24,ANLCA,Niveau 1 (débutant),164,1,48.7
ALP500143,2022,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Féminin,47,35-49,ONG,Niveau 2 (intermédiaire),101,0,67.6
ALP500144,2017,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Masculin,29,25-34,Entreprise,Niveau 1 (débutant),185,1,45.1
ALP500145,2022,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Féminin,53,50-64,ANLCA,Niveau 2 (intermédiaire),141,1,38.9
ALP500146,2016,Drâa-Tafilalet,DRA,Ouarzazate,Urbain,Féminin,50,35-49,ONG,Niveau 3 (avancé),100,0,63.8
ALP500147,2018,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Masculin,54,50-64,ANLCA,Niveau 1 (débutant),105,0,95.4
ALP500148,2021,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Féminin,25,15-24,Mosquée,Niveau 1 (débutant),125,1,99.8
ALP500149,2016,Oriental,ORI,Driouch,Urbain,Féminin,25,15-24,Association partenaire,Niveau 2 (intermédiaire),184,1,50.7
ALP500150,2016,Casablanca-Settat,CAS,Khouribga,Rural,Féminin,53,50-64,Association partenaire,Niveau 2 (intermédiaire),45,1,71.0
ALP500151,2021,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Masculin,42,35-49,ANLCA,Niveau 3 (avancé),173,0,52.5
ALP500152,2021,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Féminin,21,15-24,Association partenaire,Niveau 1 (débutant),70,1,70.9
ALP500153,2023,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,27,25-34,ANLCA,Niveau 2 (intermédiaire),194,1,70.5
ALP500154,2021,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Féminin,15,,Association partenaire,Niveau 2 (intermédiaire),114,0,54.8
ALP500155,2020,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Féminin,47,35-49,ONG,Niveau 1 (débutant),70,1,35.2
ALP500156,2017,Casablanca-Settat,CAS,Settat,Rural,Féminin,52,50-64,Mosquée,Niveau 2 (intermédiaire),97,1,50.2
ALP500157,2019,Casablanca-Settat,CAS,Casablanca,Rural,Masculin,60,50-64,Mosquée,Niveau 1 (débutant),53,1,71.7
ALP500158,2021,Casablanca-Settat,CAS,Khouribga,Urbain,Féminin,47,35-49,ANLCA,Niveau 1 (débutant),135,1,50.9
ALP500159,2016,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Féminin,28,25-34,ANLCA,Niveau 2 (intermédiaire),62,1,90.8
ALP500160,2023,Oriental,ORI,Oujda-Angad,Urbain,Masculin,24,15-24,Mosquée,Niveau 3 (avancé),127,1,34.7
ALP500161,2019,Souss-Massa,SOU,Tata,Rural,Masculin,61,50-64,ANLCA,Niveau 1 (débutant),175,0,61.1
ALP500162,2019,Marrakech-Safi,MAR,Essaouira,Urbain,Féminin,42,35-49,ONG,Niveau 2 (intermédiaire),112,1,81.4
ALP500163,2018,Marrakech-Safi,MAR,Youssoufia,Urbain,Féminin,59,50-64,ONG,Niveau 2 (intermédiaire),113,0,0.0
ALP500164,2017,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Féminin,32,25-34,Entreprise,Niveau 2 (intermédiaire),141,1,82.9
ALP500165,2017,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Masculin,37,35-49,Association partenaire,Niveau 2 (intermédiaire),115,1,64.9
ALP500166,2015,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Féminin,53,50-64,Association partenaire,Niveau 2 (intermédiaire),193,1,65.4
ALP500167,2015,Marrakech-Safi,MAR,Youssoufia,Urbain,Féminin,48,35-49,Mosquée,Niveau 2 (intermédiaire),98,0,59.3
ALP500168,2020,Marrakech-Safi,MAR,Chichaoua,Urbain,Masculin,34,25-34,ONG,Niveau 1 (débutant),75,0,85.8
ALP500169,2022,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Féminin,44,35-49,Association partenaire,Niveau 1 (débutant),157,1,58.8
ALP500170,2022,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Féminin,50,35-49,Entreprise,Niveau 1 (débutant),60,1,89.8
ALP500171,2016,Oriental,ORI,Jerada,Rural,Masculin,54,50-64,ANLCA,Niveau 1 (débutant),85,1,68.8
ALP500172,2023,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,25,15-24,Association partenaire,Niveau 1 (débutant),83,1,72.3
ALP500173,2018,Souss-Massa,SOU,Taroudannt,Urbain,Féminin,56,50-64,Association partenaire,Niveau 1 (débutant),143,1,87.1
ALP500174,2020,Drâa-Tafilalet,DRA,Zagora,Urbain,Féminin,49,35-49,ANLCA,Niveau 3 (avancé),152,0,52.5
ALP500175,2021,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Féminin,58,50-64,ONG,Niveau 2 (intermédiaire),77,1,48.5
ALP500176,2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,42,35-49,Association partenaire,Niveau 2 (intermédiaire),185,1,67.7
ALP500177,2017,Drâa-Tafilalet,DRA,Midelt,Urbain,Féminin,51,50-64,Association partenaire,Niveau 2 (intermédiaire),164,1,32.1
ALP500178,2016,Casablanca-Settat,CAS,Settat,Rural,Féminin,50,35-49,Mosquée,Niveau 1 (débutant),77,1,35.9
ALP500179,2015,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,18,15-24,Association partenaire,Niveau 1 (débutant),148,0,78.4
ALP500180,2017,Béni Mellal-Khénifra,BMK,Azilal,Rural,Masculin,46,35-49,Entreprise,Niveau 1 (débutant),151,1,55.4
ALP500181,2023,Marrakech-Safi,MAR,Youssoufia,Rural,Féminin,59,50-64,ANLCA,Niveau 2 (intermédiaire),168,1,87.2
ALP500182,2018,Fès-Meknès,FES,Taza,Urbain,Féminin,60,50-64,ANLCA,Niveau 3 (avancé),146,1,76.5
ALP500183,2021,Casablanca-Settat,CAS,Settat,Urbain,Féminin,33,25-34,ANLCA,Niveau 1 (débutant),78,1,47.7
ALP500184,2021,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Urbain,Masculin,41,35-49,Association partenaire,Niveau 3 (avancé),185,0,63.3
ALP500185,2017,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,20,15-24,ONG,Niveau 3 (avancé),123,1,56.7
ALP500186,2023,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Féminin,60,50-64,Association partenaire,Niveau 1 (débutant),62,0,67.2
