id_beneficiaire,annee_scolaire,region,code_region,milieu,genre,cycle,type_aide,montant_aide_mad,organisme_financeur
AS600045,2022-2023,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Internat,3670,ONG
AS600046,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Masculin,Qualifiant,Restauration scolaire,1667,ONG
AS600047,2021-2022,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Cartable,145,MEN
AS600048,2021-2022,Fès-Meknès,FES,Rural,Féminin,Collégial,Cartable,187,MEN
AS600049,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Masculin,Primaire,Internat,3168,Collectivité locale
AS600050,2018-2019,Fès-Meknès,FES,Rural,Féminin,Primaire,Internat,3190,MEN
AS600051,2016-2017,Fès-Meknès,FES,Rural,Masculin,Qualifiant,Restauration scolaire,1748,MEN
AS600052,2022-2023,Casablanca-Settat,CAS,Rural,Féminin,Qualifiant,Internat,4050,INDH
AS600053,2022-2023,Guelmim-Oued Noun,GUE,Rural,Masculin,Qualifiant,Cartable,164,ONG
AS600054,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Féminin,Primaire,Restauration scolaire,1654,INDH
AS600055,2018-2019,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Qualifiant,Cartable,152,MEN
AS600056,2022-2023,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Qualifiant,Internat,3424,ONG
AS600057,2020-2021,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Collégial,Transport scolaire,1096,MEN
AS600058,2022-2023,Souss-Massa,SOU,Urbain,Masculin,Primaire,Internat,3560,MEN
AS600059,2020-2021,Fès-Meknès,FES,Urbain,Féminin,Collégial,Restauration scolaire,1883,ONG
AS600060,2022-2023,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Uniforme,318,MEN
AS600061,2022-2023,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Transport scolaire,1258,Collectivité locale
AS600062,2016-2017,Fès-Meknès,FES,Rural,Masculin,Primaire,Internat,3204,MEN
AS600063,2021-2022,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Primaire,Fournitures,210,Collectivité locale
AS600064,2015-2016,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Fournitures,238,MEN
AS600065,2023-2024,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Restauration scolaire,1656,ONG
AS600066,2015-2016,Drâa-Tafilalet,DRA,Urbain,Féminin,Primaire,Transport scolaire,1130,MEN
AS600067,2019-2020,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Transport scolaire,1216,MEN
AS600068,2016-2017,Fès-Meknès,FES,Rural,Féminin,Primaire,Restauration scolaire,1948,MEN
AS600069,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Masculin,Collégial,Cartable,161,MEN
AS600070,2020-2021,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Primaire,Cartable,148,Don privé
AS600071,2021-2022,Fès-Meknès,FES,Urbain,Masculin,Primaire,Cartable,151,INDH
AS600072,2015-2016,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Transport scolaire,1136,Collectivité locale
AS600073,2018-2019,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Collégial,Uniforme,272,MEN
AS600074,2022-2023,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Internat,3417,MEN
AS600075,2021-2022,Fès-Meknès,FES,Urbain,Féminin,Primaire,Cartable,173,MEN
AS600076,2022-2023,Drâa-Tafilalet,DRA,Urbain,Masculin,Primaire,Cartable,169,MEN
AS600077,2023-2024,Fès-Meknès,FES,Rural,Féminin,Collégial,Restauration scolaire,1796,MEN
AS600078,2018-2019,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Transport scolaire,1013,MEN
AS600079,2018-2019,Marrakech-Safi,MAR,Rural,Masculin,Collégial,Restauration scolaire,1704,MEN
AS600080,2015-2016,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Qualifiant,Internat,3848,MEN
AS600081,2022-2023,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Transport scolaire,1292,ONG
AS600082,2017-2018,Oriental,ORI,Rural,Masculin,Qualifiant,Transport scolaire,1510,Don privé
AS600083,2021-2022,Fès-Meknès,FES,Rural,Masculin,Qualifiant,Restauration scolaire,1615,MEN
AS600084,2022-2023,Fès-Meknès,FES,Urbain,Masculin,Collégial,Restauration scolaire,1952,Don privé
AS600085,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Masculin,Collégial,Fournitures,207,MEN
AS600086,2017-2018,Béni Mellal-Khénifra,BMK,Rural,Masculin,Primaire,Uniforme,249,MEN
AS600087,2021-2022,Souss-Massa,SOU,Urbain,Féminin,Qualifiant,Internat,3931,MEN
AS600088,2021-2022,Fès-Meknès,FES,Rural,Masculin,Primaire,Restauration scolaire,1626,Don privé
AS600089,2021-2022,Marrakech-Safi,MAR,Urbain,Masculin,Collégial,Transport scolaire,1306,INDH
AS600090,2016-2017,Marrakech-Safi,MAR,Rural,Féminin,Collégial,Internat,3599,Don privé
AS600091,2018-2019,Guelmim-Oued Noun,GUE,Rural,Masculin,Primaire,Cartable,161,INDH
AS600092,2023-2024,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Cartable,147,MEN
AS600093,2021-2022,Casablanca-Settat,CAS,Urbain,Féminin,Qualifiant,Transport scolaire,1337,INDH
AS600094,2015-2016,Guelmim-Oued Noun,GUE,Rural,Masculin,Qualifiant,Restauration scolaire,1934,MEN
AS600095,2022-2023,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Cartable,147,Collectivité locale
AS600096,2022-2023,Casablanca-Settat,CAS,Rural,Féminin,Qualifiant,Cartable,180,MEN
AS600097,2017-2018,Drâa-Tafilalet,DRA,Urbain,Masculin,Primaire,Cartable,136,Collectivité locale
AS600098,2016-2017,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Primaire,Transport scolaire,1195,MEN
AS600099,2017-2018,Casablanca-Settat,CAS,Rural,Féminin,Collégial,Transport scolaire,913,MEN
AS600100,2021-2022,Casablanca-Settat,CAS,Rural,Masculin,Qualifiant,Restauration scolaire,1583,MEN
AS600101,2015-2016,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Fournitures,196,MEN
AS600102,2016-2017,Béni Mellal-Khénifra,BMK,Rural,Féminin,Collégial,Transport scolaire,1305,MEN
AS600103,2017-2018,Fès-Meknès,FES,Urbain,Féminin,Qualifiant,Restauration scolaire,1661,MEN
AS600104,2017-2018,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Restauration scolaire,1588,Collectivité locale
AS600105,2018-2019,Fès-Meknès,FES,Urbain,Féminin,Primaire,Restauration scolaire,1810,Collectivité locale
AS600106,2022-2023,Fès-Meknès,FES,Urbain,Masculin,Primaire,Cartable,140,MEN
AS600107,2021-2022,Marrakech-Safi,MAR,Rural,Masculin,Collégial,Restauration scolaire,2255,INDH
AS600108,2022-2023,Marrakech-Safi,MAR,Urbain,Féminin,Qualifiant,Fournitures,224,MEN
AS600109,2018-2019,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Fournitures,169,Don privé
AS600110,2021-2022,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Transport scolaire,1210,MEN
AS600111,2019-2020,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Internat,3186,MEN
AS600112,2018-2019,Fès-Meknès,FES,Urbain,Féminin,Collégial,Internat,2965,MEN
AS600113,2020-2021,Guelmim-Oued Noun,GUE,Rural,Masculin,Primaire,Restauration scolaire,1895,MEN
AS600114,2018-2019,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Restauration scolaire,1882,MEN
AS600115,2017-2018,Fès-Meknès,FES,Rural,Féminin,Collégial,Cartable,145,MEN
AS600116,2017-2018,Casablanca-Settat,CAS,Rural,Féminin,Qualifiant,Cartable,162,MEN
AS600117,2019-2020,Marrakech-Safi,MAR,Rural,Féminin,Collégial,Transport scolaire,1244,MEN
AS600118,2022-2023,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Primaire,Restauration scolaire,2048,ONG
AS600119,2023-2024,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Qualifiant,Transport scolaire,1411,ONG
AS600120,2018-2019,Souss-Massa,SOU,Rural,Masculin,Collégial,Internat,3465,MEN
AS600121,2019-2020,Souss-Massa,SOU,Urbain,Masculin,Primaire,Restauration scolaire,1793,MEN
AS600122,2023-2024,Laâyoune-Sakia El Hamra,LAA,Rural,Féminin,Collégial,Cartable,134,Collectivité locale
AS600123,2019-2020,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Collégial,Cartable,155,Collectivité locale
AS600124,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Masculin,Collégial,Uniforme,288,INDH
AS600125,2017-2018,Fès-Meknès,FES,Rural,Féminin,Primaire,Restauration scolaire,1911,INDH
AS600126,2021-2022,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Fournitures,244,ONG
AS600127,2015-2016,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Qualifiant,Internat,4137,MEN
AS600128,2021-2022,Fès-Meknès,FES,Rural,Masculin,Primaire,Transport scolaire,1463,MEN
AS600129,2016-2017,Laâyoune-Sakia El Hamra,LAA,Urbain,Masculin,Collégial,Cartable,167,INDH
AS600130,2018-2019,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Restauration scolaire,1754,MEN
AS600131,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Primaire,Uniforme,264,ONG
AS600132,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Collégial,Uniforme,271,MEN
AS600133,2022-2023,Oriental,ORI,Rural,Masculin,Primaire,Restauration scolaire,1708,Don privé
AS600134,2017-2018,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Transport scolaire,1325,Collectivité locale
AS600135,2021-2022,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Transport scolaire,1093,INDH
AS600136,2018-2019,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Qualifiant,Internat,3135,Don privé
AS600137,2020-2021,Fès-Meknès,FES,Urbain,Féminin,Qualifiant,Cartable,167,Collectivité locale
AS600138,2022-2023,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Primaire,Fournitures,221,MEN
AS600139,2018-2019,Oriental,ORI,Urbain,Masculin,Primaire,Cartable,146,INDH
AS600140,2017-2018,Fès-Meknès,FES,Rural,Féminin,Collégial,Restauration scolaire,2224,INDH
AS600141,2015-2016,Oriental,ORI,Urbain,Masculin,Primaire,Cartable,136,MEN
AS600142,2023-2024,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Restauration scolaire,1922,ONG
AS600143,2016-2017,Casablanca-Settat,CAS,Urbain,Féminin,Collégial,Fournitures,185,INDH
AS600144,2018-2019,Casablanca-Settat,CAS,Urbain,Féminin,Collégial,Restauration scolaire,2098,MEN
AS600145,2021-2022,Souss-Massa,SOU,Rural,Féminin,Qualifiant,Transport scolaire,1307,MEN
AS600146,2017-2018,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Collégial,Internat,4423,MEN
AS600147,2023-2024,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Qualifiant,Cartable,148,MEN
AS600148,2020-2021,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Transport scolaire,1252,MEN
AS600149,2017-2018,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Collégial,Cartable,156,MEN
AS600150,2018-2019,Souss-Massa,SOU,Urbain,Masculin,Qualifiant,Restauration scolaire,1811,ONG
AS600151,2015-2016,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Qualifiant,Cartable,139,INDH
AS600152,2020-2021,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Internat,3376,MEN
AS600153,2019-2020,Souss-Massa,SOU,Urbain,Masculin,Primaire,Fournitures,162,MEN
AS600154,2018-2019,Marrakech-Safi,MAR,Urbain,Masculin,Primaire,Uniforme,291,Collectivité locale
AS600155,2022-2023,Casablanca-Settat,CAS,Rural,Masculin,Qualifiant,Restauration scolaire,2201,Collectivité locale
AS600156,2016-2017,Béni Mellal-Khénifra,BMK,Rural,Féminin,Primaire,Transport scolaire,1126,MEN
AS600157,2018-2019,Béni Mellal-Khénifra,BMK,Rural,Féminin,Primaire,Internat,3681,INDH
AS600158,2019-2020,Casablanca-Settat,CAS,Rural,Masculin,Collégial,Fournitures,190,INDH
AS600159,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Qualifiant,Restauration scolaire,1638,MEN
AS600160,2016-2017,Fès-Meknès,FES,Rural,Masculin,Collégial,Restauration scolaire,1488,Collectivité locale
AS600161,2019-2020,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Primaire,Restauration scolaire,1977,Collectivité locale
AS600162,2020-2021,Béni Mellal-Khénifra,BMK,Rural,Masculin,Collégial,Uniforme,288,MEN
AS600163,2017-2018,Fès-Meknès,FES,Urbain,Féminin,Qualifiant,Internat,3530,MEN
AS600164,2020-2021,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Collégial,Restauration scolaire,1938,ONG
AS600165,2023-2024,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Restauration scolaire,1801,INDH
AS600166,2016-2017,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Primaire,Transport scolaire,1135,Collectivité locale
AS600167,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Masculin,Collégial,Cartable,168,MEN
AS600168,2017-2018,Souss-Massa,SOU,Rural,Féminin,Primaire,Restauration scolaire,1841,MEN
AS600169,2019-2020,Béni Mellal-Khénifra,BMK,Rural,Masculin,Primaire,Restauration scolaire,1744,MEN
AS600170,2023-2024,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Restauration scolaire,2053,MEN
AS600171,2022-2023,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Cartable,164,MEN
AS600172,2022-2023,Béni Mellal-Khénifra,BMK,Urbain,Féminin,Primaire,Cartable,162,MEN
AS600173,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Primaire,Cartable,161,INDH
AS600174,2015-2016,Marrakech-Safi,MAR,Urbain,Masculin,Collégial,Uniforme,272,MEN
AS600175,2020-2021,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Cartable,155,Don privé
AS600176,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Masculin,Qualifiant,Restauration scolaire,1611,MEN
AS600177,2021-2022,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Restauration scolaire,2047,MEN
AS600178,2023-2024,Laâyoune-Sakia El Hamra,LAA,Urbain,Féminin,Primaire,Restauration scolaire,1692,MEN
AS600179,2020-2021,Marrakech-Safi,MAR,Urbain,Masculin,Primaire,Restauration scolaire,1643,ONG
AS600180,2023-2024,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Restauration scolaire,1710,MEN
AS600181,2016-2017,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Internat,3306,MEN
AS600182,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Féminin,Collégial,Cartable,161,MEN
AS600183,2018-2019,Casablanca-Settat,CAS,Urbain,Masculin,Collégial,Cartable,176,MEN
AS600184,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Masculin,Primaire,Transport scolaire,1308,Don privé
AS600185,2016-2017,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Internat,3672,INDH
AS600186,2018-2019,Marrakech-Safi,MAR,Urbain,Féminin,Qualifiant,Cartable,160,Don privé
AS600187,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Féminin,Collégial,Restauration scolaire,2004,MEN
AS600188,2019-2020,Béni Mellal-Khénifra,BMK,Urbain,Féminin,Qualifiant,Cartable,121,INDH
AS600189,2015-2016,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Cartable,156,Collectivité locale
AS600190,2021-2022,Fès-Meknès,FES,Rural,Féminin,Collégial,Cartable,154,MEN
AS600191,2018-2019,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Cartable,159,MEN
AS600192,2015-2016,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Restauration scolaire,2153,MEN
AS600193,2018-2019,Casablanca-Settat,CAS,Urbain,Féminin,Collégial,Cartable,157,MEN
AS600194,2015-2016,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Cartable,162,Collectivité locale
AS600195,2018-2019,Fès-Meknès,FES,Urbain,Féminin,Qualifiant,Cartable,157,INDH
AS600196,2021-2022,Casablanca-Settat,CAS,Rural,Féminin,Collégial,Fournitures,209,MEN
AS600197,2020-2021,Marrakech-Safi,MAR,Urbain,Masculin,Collégial,Restauration scolaire,1650,ONG
AS600198,2020-2021,Casablanca-Settat,CAS,Urbain,Féminin,Collégial,Internat,3584,Collectivité locale
AS600199,2022-2023,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Uniforme,269,ONG
AS600200,2018-2019,Marrakech-Safi,MAR,Rural,Féminin,Qualifiant,Restauration scolaire,1576,MEN
AS600201,2019-2020,Fès-Meknès,FES,Urbain,Masculin,Qualifiant,Transport scolaire,1224,ONG
AS600202,2017-2018,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Cartable,152,MEN
AS600203,2021-2022,Fès-Meknès,FES,Rural,Féminin,Qualifiant,Cartable,135,MEN
AS600204,2020-2021,Casablanca-Settat,CAS,Urbain,Masculin,Qualifiant,Restauration scolaire,1901,MEN
AS600205,2023-2024,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Fournitures,203,MEN
AS600206,2020-2021,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Fournitures,206,MEN
AS600207,2023-2024,Drâa-Tafilalet,DRA,Rural,Masculin,Qualifiant,Fournitures,217,ONG
AS600208,2021-2022,Rabat-Salé-Kénitra,RAB,Rural,Masculin,Primaire,Internat,4399,INDH
AS600209,2021-2022,Marrakech-Safi,MAR,Urbain,Féminin,Collégial,Transport scolaire,1140,INDH
AS600210,2019-2020,Marrakech-Safi,MAR,Urbain,Masculin,Primaire,Cartable,125,INDH
AS600211,2020-2021,Souss-Massa,SOU,Rural,Masculin,Primaire,Cartable,160,MEN
AS600212,2017-2018,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Uniforme,257,MEN
AS600213,2017-2018,Casablanca-Settat,CAS,Rural,Masculin,Primaire,Fournitures,205,Don privé
AS600214,2022-2023,Fès-Meknès,FES,Rural,Féminin,Qualifiant,Transport scolaire,1207,MEN
AS600215,2019-2020,Casablanca-Settat,CAS,Rural,Masculin,Collégial,Restauration scolaire,1763,INDH
AS600216,2016-2017,Casablanca-Settat,CAS,Urbain,Féminin,Collégial,Uniforme,378,Collectivité locale
AS600217,2018-2019,Casablanca-Settat,CAS,Urbain,Masculin,Primaire,Cartable,185,MEN
AS600218,2017-2018,Fès-Meknès,FES,Rural,Féminin,Primaire,Transport scolaire,1097,MEN
AS600219,2020-2021,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Cartable,169,INDH
AS600220,2022-2023,Béni Mellal-Khénifra,BMK,Rural,Masculin,Collégial,Restauration scolaire,1785,MEN
AS600221,2023-2024,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Uniforme,260,MEN
AS600222,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Primaire,Uniforme,289,Collectivité locale
AS600223,2020-2021,Marrakech-Safi,MAR,Urbain,Féminin,Primaire,Cartable,164,Collectivité locale
AS600224,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Féminin,Qualifiant,Restauration scolaire,1482,MEN
AS600225,2018-2019,Marrakech-Safi,MAR,Rural,Masculin,Primaire,Cartable,160,ONG
AS600226,2015-2016,Casablanca-Settat,CAS,Urbain,Féminin,Primaire,Internat,3366,INDH
AS600227,2020-2021,Marrakech-Safi,MAR,Rural,Masculin,Collégial,Transport scolaire,1294,Don privé
AS600228,2015-2016,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Collégial,Transport scolaire,1438,MEN
AS600229,2017-2018,Béni Mellal-Khénifra,BMK,Rural,Masculin,Primaire,Uniforme,354,Collectivité locale
AS600230,2017-2018,Béni Mellal-Khénifra,BMK,Urbain,Masculin,Primaire,Fournitures,224,MEN
AS600231,2015-2016,Souss-Massa,SOU,Urbain,Féminin,Primaire,Transport scolaire,1213,MEN
AS600232,2021-2022,Rabat-Salé-Kénitra,RAB,Urbain,Masculin,Primaire,Uniforme,239,MEN
AS600233,2016-2017,Fès-Meknès,FES,Urbain,Masculin,Collégial,Cartable,189,MEN
AS600234,2020-2021,Casablanca-Settat,CAS,Rural,Masculin,Collégial,Cartable,158,MEN
AS600235,2018-2019,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Cartable,173,INDH
AS600236,2021-2022,Fès-Meknès,FES,Urbain,Féminin,Primaire,Fournitures,198,Collectivité locale
AS600237,2015-2016,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Cartable,150,MEN
AS600238,2019-2020,Fès-Meknès,FES,Urbain,Masculin,Qualifiant,Restauration scolaire,2208,INDH
AS600239,2016-2017,Béni Mellal-Khénifra,BMK,Urbain,Féminin,Primaire,Restauration scolaire,1378,INDH
AS600240,2021-2022,Marrakech-Safi,MAR,Urbain,Féminin,Collégial,Cartable,167,MEN
AS600241,2023-2024,Fès-Meknès,FES,Rural,Féminin,Collégial,Restauration scolaire,2049,MEN
AS600242,2023-2024,Fès-Meknès,FES,Urbain,Féminin,Primaire,Restauration scolaire,2255,Don privé
AS600243,2023-2024,Rabat-Salé-Kénitra,RAB,Urbain,Féminin,Primaire,Uniforme,283,MEN
AS600244,2020-2021,Souss-Massa,SOU,Rural,Féminin,Collégial,Cartable,198,INDH
AS600245,2015-2016,Casablanca-Settat,CAS,Rural,Féminin,Primaire,Uniforme,279,INDH
AS600246,2019-2020,Drâa-Tafilalet,DRA,Rural,Masculin,Primaire,Cartable,169,MEN
AS600247,2017-2018,Souss-Massa,SOU,Rural,Féminin,Primaire,Internat,3498,MEN
AS600248,2023-2024,Marrakech-Safi,MAR,Rural,Féminin,Primaire,Cartable,171,MEN
AS600249,2022-2023,Souss-Massa,SOU,Urbain,Masculin,Primaire,Internat,3046,MEN
AS600250,2022-2023,Souss-Massa,SOU,Rural,Féminin,Primaire,Fournitures,218,ONG
AS600251,2022-2023,Rabat-Salé-Kénitra,RAB,Rural,Féminin,Collégial,Uniforme,283,MEN
