id_candidat,annee,type_examen,filiere,region,code_region,milieu,secteur,genre,note_arabe,note_mathematiques,note_francais,note_sciences,note_histoire_geo,note_education_islamique,moyenne_generale,admis,mention
CAND300046,2023,CFEN (Primaire),N/A,Marrakech-Safi,MAR,Rural,Public,Masculin,10.95,5.85,14.43,11.3,13.76,11.96,10.49,1,Passable
CAND300047,2022,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,6.15,10.59,9.0,3.75,9.67,15.12,8.93,0,Ajourné
CAND300048,2018,Baccalauréat,Economie,Drâa-Tafilalet,DRA,Rural,Public,Féminin,4.0,9.58,12.74,8.93,12.09,11.77,9.05,0,Ajourné
CAND300049,2016,Baccalauréat,Economie,Oriental,ORI,Urbain,Public,Féminin,9.22,6.55,6.48,13.81,7.78,13.29,9.45,0,Ajourné
CAND300050,2021,CFEN (Primaire),N/A,Drâa-Tafilalet,DRA,Rural,Public,Féminin,11.77,10.42,6.34,7.71,12.95,14.93,10.05,1,Passable
CAND300051,2019,Baccalauréat,Sciences maths,Rabat-Salé-Kénitra,RAB,Urbain,Privé,Féminin,11.65,12.65,12.88,7.6,12.08,13.41,12.68,1,Assez Bien
CAND300052,2022,Baccalauréat,Sciences maths,Marrakech-Safi,MAR,Urbain,Public,Masculin,13.59,6.39,10.22,7.19,14.61,16.48,11.14,1,Passable
CAND300053,2022,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,13.16,7.77,8.92,4.12,15.71,10.96,9.96,0,Ajourné
CAND300054,2015,Baccalauréat,Economie,Marrakech-Safi,MAR,Rural,Public,Féminin,9.94,8.2,7.1,9.67,8.86,8.62,8.16,0,Ajourné
CAND300055,2019,Baccalauréat,Arts,Marrakech-Safi,MAR,Urbain,Public,Féminin,12.19,8.62,9.0,7.56,13.69,11.17,10.28,1,Passable
CAND300056,2021,Baccalauréat,Sciences techno,Béni Mellal-Khénifra,BMK,Urbain,Public,Féminin,7.12,7.71,5.09,9.97,14.39,13.66,9.49,0,Ajourné
CAND300057,2023,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Masculin,5.47,4.3,15.23,9.91,11.38,14.11,9.64,0,Ajourné
CAND300058,2015,Baccalauréat,Lettres,Béni Mellal-Khénifra,BMK,Rural,Public,Masculin,2.39,13.34,11.28,5.41,5.67,12.59,7.85,0,Ajourné
CAND300059,2023,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Masculin,8.45,6.62,7.2,10.09,10.16,9.85,8.64,0,Ajourné
CAND300060,2015,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,4.77,10.41,11.4,5.73,7.65,16.1,9.19,0,Ajourné
CAND300061,2022,Baccalauréat,Sciences techno,Casablanca-Settat,CAS,Rural,Public,Féminin,11.88,5.94,12.69,13.11,9.26,11.14,9.92,0,Ajourné
CAND300062,2023,Brevet (Collégial),N/A,Souss-Massa,SOU,Rural,Public,Masculin,11.12,11.34,7.59,11.77,10.48,12.66,10.28,1,Passable
CAND300063,2019,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Privé,Masculin,11.89,7.37,8.44,13.31,8.47,14.62,11.01,1,Passable
CAND300064,2021,CFEN (Primaire),N/A,Fès-Meknès,FES,Urbain,Public,Masculin,14.31,7.68,13.35,12.34,10.84,12.78,11.75,1,Passable
CAND300065,2023,CFEN (Primaire),N/A,Béni Mellal-Khénifra,BMK,Rural,Privé,Féminin,10.99,12.5,13.82,10.4,13.18,13.9,12.78,1,Assez Bien
CAND300066,2018,Baccalauréat,Sciences maths,Oriental,ORI,Urbain,Public,Masculin,12.42,15.77,9.7,9.61,13.33,12.51,12.36,1,Assez Bien
CAND300067,2018,Baccalauréat,Sciences expérimentales,Rabat-Salé-Kénitra,RAB,Rural,Public,Féminin,9.68,16.46,12.71,10.83,12.38,13.57,12.08,1,Assez Bien
CAND300068,2017,CFEN (Primaire),N/A,Casablanca-Settat,CAS,Urbain,Public,Masculin,11.55,11.67,10.59,17.33,17.15,8.41,12.78,1,Assez Bien
CAND300069,2021,Baccalauréat,Sciences techno,Rabat-Salé-Kénitra,RAB,Urbain,Public,Féminin,8.42,12.92,7.75,12.57,5.5,11.07,9.88,0,Ajourné
CAND300070,2020,CFEN (Primaire),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Masculin,14.23,7.71,9.94,8.15,8.68,13.28,10.27,1,Passable
CAND300071,2018,Baccalauréat,Sciences expérimentales,Dakhla-Oued Eddahab,DAK,Urbain,Public,Féminin,8.78,9.65,7.68,7.17,11.08,14.14,9.66,0,Ajourné
CAND300072,2023,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,4.55,14.67,9.92,8.12,8.92,8.84,8.68,0,Ajourné
CAND300073,2021,Baccalauréat,Sciences maths,Fès-Meknès,FES,Urbain,Public,Masculin,10.23,12.17,9.99,12.39,9.55,14.41,11.47,1,Passable
CAND300074,2015,Baccalauréat,Sciences maths,Fès-Meknès,FES,Urbain,Public,Masculin,11.5,14.07,9.05,12.57,15.75,12.42,12.6,1,Assez Bien
CAND300075,2019,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Urbain,Public,Féminin,6.81,11.54,14.81,9.78,13.72,9.15,10.85,1,Passable
CAND300076,2016,CFEN (Primaire),N/A,Béni Mellal-Khénifra,BMK,Rural,Public,Féminin,6.48,13.46,16.08,4.18,11.66,13.76,10.19,1,Passable
CAND300077,2016,Brevet (Collégial),N/A,Souss-Massa,SOU,Urbain,Public,Masculin,8.76,11.34,8.81,8.88,8.02,10.18,9.41,0,Ajourné
CAND300078,2023,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Urbain,Public,Féminin,8.29,6.06,16.74,11.13,13.46,16.95,11.67,1,Passable
CAND300079,2015,Baccalauréat,Sciences expérimentales,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Masculin,11.74,9.59,14.8,7.49,11.38,14.37,11.39,1,Passable
CAND300080,2022,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Masculin,14.58,7.21,9.66,16.95,11.12,13.93,12.15,1,Assez Bien
CAND300081,2019,Baccalauréat,Sciences expérimentales,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,12.11,8.91,13.33,12.88,14.26,12.4,12.15,1,Assez Bien
CAND300082,2018,Brevet (Collégial),N/A,Fès-Meknès,FES,Urbain,Public,Féminin,10.45,8.53,13.01,11.5,9.68,9.8,10.41,1,Passable
CAND300083,2023,Brevet (Collégial),N/A,Oriental,ORI,Urbain,Public,Féminin,14.69,3.36,8.42,7.93,11.95,14.23,9.85,0,Ajourné
CAND300084,2022,Baccalauréat,Sciences expérimentales,Rabat-Salé-Kénitra,RAB,Urbain,Privé,Masculin,7.52,15.48,9.89,15.12,9.18,8.98,12.23,1,Assez Bien
CAND300085,2017,Brevet (Collégial),N/A,Fès-Meknès,FES,Urbain,Privé,Masculin,13.8,9.28,11.48,5.73,10.6,11.86,11.4,1,Passable
CAND300086,2022,Baccalauréat,Economie,Casablanca-Settat,CAS,Rural,Public,Féminin,12.99,10.95,9.31,10.32,7.77,12.07,10.06,1,Passable
CAND300087,2023,Brevet (Collégial),N/A,Drâa-Tafilalet,DRA,Urbain,Public,Masculin,8.8,20.0,11.5,15.22,12.14,13.44,13.73,1,Assez Bien
CAND300088,2020,Brevet (Collégial),N/A,Laâyoune-Sakia El Hamra,LAA,Urbain,Public,Masculin,8.9,9.45,8.36,7.26,7.4,11.91,8.88,0,Ajourné
CAND300089,2018,Brevet (Collégial),N/A,Fès-Meknès,FES,Urbain,Public,Masculin,5.09,4.17,8.01,4.54,11.76,12.45,7.35,0,Ajourné
CAND300090,2020,Baccalauréat,Lettres,Souss-Massa,SOU,Rural,Public,Féminin,0.0,11.33,5.48,12.38,14.25,16.04,9.14,0,Ajourné
CAND300091,2017,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,9.57,14.33,12.18,11.17,13.58,13.15,12.32,1,Assez Bien
CAND300092,2021,Baccalauréat,Economie,Casablanca-Settat,CAS,Urbain,Public,Féminin,9.23,12.21,7.61,10.61,8.15,11.15,9.94,0,Ajourné
CAND300093,2017,Baccalauréat,Sciences maths,Béni Mellal-Khénifra,BMK,Rural,Public,Féminin,15.52,11.56,9.48,7.76,10.63,13.88,10.92,1,Passable
CAND300094,2023,Baccalauréat,Sciences expérimentales,Marrakech-Safi,MAR,Urbain,Public,Masculin,12.49,12.84,5.42,9.78,9.59,11.46,10.45,1,Passable
CAND300095,2023,Baccalauréat,Sciences maths,Souss-Massa,SOU,Urbain,Public,Masculin,11.42,14.52,8.91,14.04,13.81,15.31,13.05,1,Assez Bien
CAND300096,2017,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Féminin,13.58,10.53,13.1,11.51,13.06,12.18,12.26,1,Assez Bien
CAND300097,2018,Baccalauréat,Sciences maths,Souss-Massa,SOU,Urbain,Public,Masculin,11.52,9.34,16.49,11.7,10.63,11.69,11.75,1,Passable
CAND300098,2023,Baccalauréat,Sciences expérimentales,Casablanca-Settat,CAS,Rural,Public,Féminin,7.07,12.48,5.95,11.41,4.37,14.03,8.76,0,Ajourné
CAND300099,2016,Baccalauréat,Lettres,Marrakech-Safi,MAR,Urbain,Public,Masculin,9.63,11.72,14.84,10.33,6.07,15.1,11.23,1,Passable
CAND300100,2019,CFEN (Primaire),N/A,Fès-Meknès,FES,Urbain,Privé,Masculin,7.38,2.66,12.62,11.9,5.04,12.96,9.48,0,Ajourné
CAND300101,2023,Baccalauréat,Sciences maths,Fès-Meknès,FES,Urbain,Public,Masculin,8.3,9.91,9.84,19.39,7.71,14.24,11.54,1,Passable
CAND300102,2022,Baccalauréat,Sciences maths,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,12.45,4.99,6.29,12.0,12.73,12.96,9.48,0,Ajourné
CAND300103,2022,Baccalauréat,Sciences maths,Béni Mellal-Khénifra,BMK,Rural,Public,Féminin,4.27,14.71,15.56,6.04,14.52,15.28,10.94,1,Passable
CAND300104,2021,Brevet (Collégial),N/A,Guelmim-Oued Noun,GUE,Urbain,Public,Féminin,4.59,10.03,6.88,6.57,8.89,16.9,8.85,0,Ajourné
CAND300105,2020,Brevet (Collégial),N/A,Souss-Massa,SOU,Urbain,Public,Féminin,11.22,8.73,11.92,6.05,11.48,13.9,10.39,1,Passable
CAND300106,2019,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Masculin,8.99,10.15,9.98,13.8,8.13,17.69,11.36,1,Passable
CAND300107,2020,Baccalauréat,Lettres,Casablanca-Settat,CAS,Urbain,Public,Féminin,14.01,9.78,14.4,10.26,11.32,9.36,11.49,1,Passable
CAND300108,2022,Baccalauréat,Economie,Rabat-Salé-Kénitra,RAB,Urbain,Public,Féminin,12.05,10.13,10.57,9.4,10.28,9.73,10.38,1,Passable
CAND300109,2015,Baccalauréat,Sciences expérimentales,Oriental,ORI,Rural,Public,Féminin,8.05,6.93,15.37,12.97,6.74,10.22,9.29,0,Ajourné
CAND300110,2022,CFEN (Primaire),N/A,Fès-Meknès,FES,Urbain,Public,Féminin,6.95,2.37,10.29,5.31,13.76,12.73,8.14,0,Ajourné
CAND300111,2019,Baccalauréat,Sciences expérimentales,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Public,Féminin,13.08,6.94,12.44,7.48,9.21,13.19,9.64,0,Ajourné
CAND300112,2023,Baccalauréat,Sciences expérimentales,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,10.13,6.21,8.32,4.14,11.96,9.11,8.18,0,Ajourné
CAND300113,2019,Baccalauréat,Sciences expérimentales,Drâa-Tafilalet,DRA,Rural,Public,Masculin,10.42,9.59,6.78,12.16,10.92,14.72,10.12,1,Passable
CAND300114,2016,Brevet (Collégial),N/A,Oriental,ORI,Rural,Public,Masculin,12.0,9.83,7.43,7.48,13.77,11.41,9.69,0,Ajourné
CAND300115,2021,Baccalauréat,Sciences agro,Marrakech-Safi,MAR,Urbain,Public,Féminin,15.9,7.44,12.6,5.54,9.9,14.28,10.81,1,Passable
CAND300116,2020,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Féminin,13.85,1.61,13.32,7.06,5.18,13.19,8.77,0,Ajourné
CAND300117,2017,CFEN (Primaire),N/A,Béni Mellal-Khénifra,BMK,Urbain,Public,Féminin,7.86,6.64,10.87,8.53,11.14,15.23,9.78,0,Ajourné
CAND300118,2021,Brevet (Collégial),N/A,Drâa-Tafilalet,DRA,Urbain,Public,Masculin,15.7,11.52,8.34,6.52,14.1,14.54,11.78,1,Passable
CAND300119,2018,Baccalauréat,Economie,Souss-Massa,SOU,Rural,Public,Masculin,10.04,6.11,10.53,13.6,7.12,14.06,9.5,0,Ajourné
CAND300120,2016,Baccalauréat,Lettres,Casablanca-Settat,CAS,Urbain,Public,Féminin,9.67,9.32,4.33,10.32,11.62,13.25,9.74,0,Ajourné
CAND300121,2017,Baccalauréat,Sciences maths,Drâa-Tafilalet,DRA,Rural,Public,Masculin,9.28,8.57,7.25,2.69,10.67,13.76,7.99,0,Ajourné
CAND300122,2022,Baccalauréat,Lettres,Rabat-Salé-Kénitra,RAB,Urbain,Public,Masculin,12.49,10.11,9.72,6.76,10.37,12.16,10.26,1,Passable
CAND300123,2015,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Urbain,Public,Féminin,11.48,10.24,13.41,12.59,9.31,9.57,11.1,1,Passable
CAND300124,2017,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Privé,Féminin,8.34,4.13,13.21,8.68,16.18,15.58,11.55,1,Passable
CAND300125,2023,Baccalauréat,Lettres,Oriental,ORI,Urbain,Public,Masculin,15.22,4.62,9.89,8.25,14.94,12.61,10.68,1,Passable
CAND300126,2016,Baccalauréat,Economie,Casablanca-Settat,CAS,Rural,Public,Masculin,3.46,5.8,12.52,9.45,10.41,11.75,7.99,0,Ajourné
CAND300127,2017,Brevet (Collégial),N/A,Souss-Massa,SOU,Urbain,Public,Féminin,7.56,4.11,8.21,14.8,4.53,13.37,8.62,0,Ajourné
CAND300128,2020,CFEN (Primaire),N/A,Casablanca-Settat,CAS,Rural,Public,Masculin,10.38,15.09,8.41,8.07,14.99,11.78,10.93,1,Passable
CAND300129,2017,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,13.55,8.23,9.73,5.71,13.84,12.55,10.47,1,Passable
CAND300130,2018,Brevet (Collégial),N/A,Fès-Meknès,FES,Urbain,Public,Masculin,8.84,12.01,7.34,11.86,15.66,12.89,11.39,1,Passable
CAND300131,2020,Brevet (Collégial),N/A,Fès-Meknès,FES,Rural,Privé,Féminin,7.59,15.31,10.61,10.97,12.27,12.5,12.0,1,Assez Bien
CAND300132,2023,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Public,Masculin,11.68,13.85,13.84,14.51,12.83,10.04,12.24,1,Assez Bien
CAND300133,2019,Baccalauréat,Sciences expérimentales,Casablanca-Settat,CAS,Urbain,Public,Masculin,13.52,11.22,14.71,6.49,12.03,12.86,11.72,1,Passable
CAND300134,2016,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Rural,Public,Féminin,11.6,8.14,10.08,11.16,12.94,9.17,9.84,0,Ajourné
CAND300135,2015,Brevet (Collégial),N/A,Oriental,ORI,Urbain,Privé,Féminin,11.11,12.42,15.94,8.83,13.57,14.22,13.55,1,Assez Bien
CAND300136,2017,Baccalauréat,Sciences maths,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Féminin,14.15,17.13,7.69,6.47,11.63,10.8,11.59,1,Passable
CAND300137,2017,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,10.5,9.57,10.53,1.05,10.17,8.12,7.7,0,Ajourné
CAND300138,2018,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Urbain,Public,Féminin,7.62,11.8,8.24,9.95,11.46,12.83,10.3,1,Passable
CAND300139,2020,CFEN (Primaire),N/A,Béni Mellal-Khénifra,BMK,Urbain,Privé,Féminin,7.74,16.88,9.09,15.15,12.43,15.27,13.86,1,Assez Bien
CAND300140,2015,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Masculin,12.71,15.18,5.47,11.17,15.26,16.51,12.81,1,Assez Bien
CAND300141,2021,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Public,Féminin,12.36,14.43,13.36,8.74,10.33,10.77,11.77,1,Passable
CAND300142,2017,Brevet (Collégial),N/A,Béni Mellal-Khénifra,BMK,Rural,Public,Masculin,6.28,10.42,9.48,9.39,10.62,12.62,9.12,0,Ajourné
CAND300143,2019,Brevet (Collégial),N/A,Oriental,ORI,Urbain,Public,Masculin,10.94,10.68,9.33,8.57,11.55,13.09,10.66,1,Passable
CAND300144,2020,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Urbain,Public,Masculin,7.35,11.82,10.06,13.54,11.89,10.09,10.79,1,Passable
CAND300145,2023,Baccalauréat,Sciences maths,Casablanca-Settat,CAS,Rural,Privé,Masculin,15.64,4.57,14.01,12.07,11.31,10.47,11.55,1,Passable
CAND300146,2023,Baccalauréat,Sciences agro,Casablanca-Settat,CAS,Urbain,Public,Masculin,10.38,10.48,9.2,9.98,10.67,13.08,10.6,1,Passable
CAND300147,2018,Brevet (Collégial),N/A,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Public,Masculin,12.47,6.4,12.73,6.58,10.72,15.36,9.86,0,Ajourné
CAND300148,2016,Baccalauréat,Sciences techno,Drâa-Tafilalet,DRA,Rural,Public,Masculin,10.36,10.49,11.65,7.63,10.91,9.4,9.45,0,Ajourné
CAND300149,2019,Baccalauréat,Sciences expérimentales,Tanger-Tétouan-Al Hoceïma,TAN,Urbain,Privé,Masculin,9.01,12.23,11.22,10.59,11.82,14.5,12.5,1,Assez Bien
CAND300150,2016,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Rural,Public,Masculin,11.04,7.28,8.22,10.25,10.18,9.4,8.75,0,Ajourné
CAND300151,2015,Brevet (Collégial),N/A,Marrakech-Safi,MAR,Rural,Public,Féminin,14.12,6.69,8.4,10.18,13.64,13.78,10.38,1,Passable
CAND300152,2017,Brevet (Collégial),N/A,Rabat-Salé-Kénitra,RAB,Rural,Public,Masculin,10.9,11.1,7.12,9.9,6.95,13.34,9.38,0,Ajourné
CAND300153,2016,Brevet (Collégial),N/A,Casablanca-Settat,CAS,Rural,Public,Féminin,7.84,10.92,9.49,11.22,14.18,12.0,10.25,1,Passable
CAND300154,2016,CFEN (Primaire),N/A,Fès-Meknès,FES,Rural,Public,Féminin,8.98,10.0,10.19,10.56,12.61,11.8,10.0,1,Passable
CAND300155,2017,Baccalauréat,Sciences agro,Tanger-Tétouan-Al Hoceïma,TAN,Rural,Privé,Masculin,11.1,11.3,8.6,7.96,13.1,13.74,11.33,1,Passable
CAND300156,2023,Brevet (Collégial),N/A,Drâa-Tafilalet,DRA,Urbain,Public,Masculin,7.0,6.09,12.17,10.67,5.63,13.59,9.0,0,Ajourné
CAND300157,2018,CFEN (Primaire),N/A,Guelmim-Oued Noun,GUE,Rural,Public,Masculin,11.14,14.51,12.27,9.28,10.27,14.6,11.46,1,Passable
CAND300158,2021,Baccalauréat,Economie,Casablanca-Settat,CAS,Rural,Public,Masculin,9.39,17.48,5.25,10.61,10.13,13.48,10.72,1,Passable
