id_etablissement,nom_etablissement,annee_scolaire,region,code_region,province,milieu,secteur,cycle,nb_classes,effectif_eleves,annee_creation,equipement_bibliotheque,equipement_laboratoire,equipement_salle_sport,acces_internet,cantine,latitude,longitude
ETB10029,OFPPT 442-ORI,2020-2021,Oriental,ORI,Driouch,Rural,Public,Formation Professionnelle,8,315,1972,0,1,0,0,0,31.37993,-2.02286
ETB10030,École 158-ORI,2022-2023,Oriental,ORI,Nador,Urbain,Public,Primaire,33,351,1975,1,1,0,1,1,29.65422,-4.53158
ETB10031,École 53-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Salé,Rural,Public,Primaire,17,308,2021,1,1,1,0,1,33.89753,-10.96816
ETB10032,Lycée 388-MAR,2020-2021,Marrakech-Safi,MAR,Safi,Urbain,Public,Qualifiant,15,467,1969,1,0,1,1,1,32.8211,-1.69913
ETB10033,Collège 85-TAN,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Privé,Collégial,7,422,1996,0,0,0,1,0,29.14176,-2.94992
ETB10034,École 68-FES,2021-2022,Fès-Meknès,FES,Fès,Rural,Public,Primaire,10,520,1999,0,0,1,1,1,32.88083,-5.90194
ETB10035,Lycée 229-MAR,2019-2020,Marrakech-Safi,MAR,Chichaoua,Urbain,Public,Qualifiant,12,349,1969,0,0,1,0,0,33.97997,-6.05195
ETB10036,Université 423-ORI,2023-2024,Oriental,ORI,Figuig,Urbain,Public,Supérieur,23,3638,1966,0,0,1,0,1,28.80105,-1.14471
ETB10037,Lycée 414-ORI,2019-2020,Oriental,ORI,Oujda-Angad,Urbain,Public,Qualifiant,29,225,1990,1,1,0,1,1,34.96322,-1.6416
ETB10038,École 272-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Privé,Primaire,6,383,1988,1,0,0,1,0,33.75894,-10.76881
ETB10039,École 170-ORI,2016-2017,Oriental,ORI,Taourirt,Urbain,Public,Primaire,19,262,2008,1,0,1,1,1,32.25532,-2.55882
ETB10040,Collège 242-MAR,2021-2022,Marrakech-Safi,MAR,Marrakech,Rural,Privé,Collégial,19,720,1990,1,1,1,1,0,30.54717,-11.72877
ETB10041,École 301-CAS,2020-2021,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Primaire,11,188,2010,1,0,1,0,0,33.43281,-8.84507
ETB10042,Collège 481-FES,2021-2022,Fès-Meknès,FES,Meknès,Rural,Public,Collégial,27,317,1988,0,0,1,0,1,29.66653,-5.99986
ETB10043,Lycée 266-FES,2018-2019,Fès-Meknès,FES,Taounate,Urbain,Public,Qualifiant,8,413,1978,0,0,1,1,0,32.83417,-8.85139
ETB10044,Collège 333-CAS,2021-2022,Casablanca-Settat,CAS,Casablanca,Urbain,Public,Collégial,15,321,1963,1,1,1,1,1,31.80052,-7.71137
ETB10045,École 159-SOU,2019-2020,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Public,Primaire,13,302,1984,0,1,0,1,1,33.60668,-1.94596
ETB10046,École 166-RAB,2015-2016,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Public,Primaire,13,330,2010,0,0,1,0,0,30.07715,-8.48555
ETB10047,Collège 29-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Public,Collégial,24,527,1964,0,0,1,1,0,35.77317,-11.56833
ETB10048,École 260-RAB,2021-2022,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Public,Primaire,12,198,1984,1,0,0,0,0,29.806,-10.55929
ETB10049,École 43-BMK,2018-2019,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Public,Primaire,30,272,1961,1,0,1,1,0,34.17864,-3.82386
ETB10050,Jardin 65-BMK,2020-2021,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Public,Préscolaire,18,60,1966,0,0,1,0,0,31.83136,-11.43526
ETB10051,OFPPT 154-MAR,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Privé,Formation Professionnelle,24,393,1989,0,0,0,0,1,30.99869,-8.67048
ETB10052,Collège 347-RAB,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Rural,Privé,Collégial,19,633,1960,1,0,1,1,1,35.02839,-9.99617
ETB10053,Collège 131-CAS,2020-2021,Casablanca-Settat,CAS,Benslimane,Rural,Privé,Collégial,20,433,2002,1,1,0,1,0,34.18036,-10.42244
ETB10054,École 257-DRA,2016-2017,Drâa-Tafilalet,DRA,Zagora,Rural,Public,Primaire,22,351,1984,1,0,1,0,0,34.2613,-2.12073
ETB10055,École 141-RAB,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Public,Primaire,4,439,1990,0,0,1,0,0,34.86674,-10.01957
ETB10056,École 297-MAR,2018-2019,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,22,348,2006,0,0,0,1,0,30.94704,-2.75252
ETB10057,Collège 312-FES,2017-2018,Fès-Meknès,FES,Boulemane,Urbain,Privé,Collégial,28,368,2007,0,0,1,1,0,30.19126,-2.42701
ETB10058,École 493-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Primaire,8,221,2014,1,0,0,1,1,30.32941,-11.37335
ETB10059,École 326-SOU,2021-2022,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Public,Primaire,24,337,2003,0,1,1,1,1,31.2644,-2.23619
ETB10060,École 348-BMK,2019-2020,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Public,Primaire,20,336,1980,0,0,0,0,1,32.41179,-1.86078
ETB10061,Collège 374-FES,2018-2019,Fès-Meknès,FES,Taounate,Rural,Public,Collégial,26,357,2016,0,0,0,1,0,32.34009,-11.54317
ETB10062,École 99-TAN,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Public,Primaire,11,313,2000,0,1,1,0,0,28.53985,-9.76057
ETB10063,École 498-MAR,2017-2018,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,20,299,1995,0,0,1,0,0,30.41753,-12.62462
ETB10064,Jardin 85-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Public,Préscolaire,13,52,2012,0,0,0,0,1,30.84913,-9.61688
ETB10065,OFPPT 88-MAR,2022-2023,Marrakech-Safi,MAR,Marrakech,Urbain,Public,Formation Professionnelle,12,355,1973,0,0,0,0,0,30.88436,-11.68161
ETB10066,École 499-ORI,2016-2017,Oriental,ORI,Oujda-Angad,Rural,Public,Primaire,27,282,1971,0,1,0,0,0,33.55773,-9.86559
ETB10067,Collège 54-CAS,2022-2023,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Collégial,19,482,2016,1,0,0,1,1,35.2475,-7.27333
ETB10068,École 228-FES,2021-2022,Fès-Meknès,FES,Séfrou,Urbain,Public,Primaire,3,220,1977,1,1,0,1,0,35.5679,-4.20725
ETB10069,École 164-RAB,2015-2016,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Privé,Primaire,31,420,1985,0,0,1,1,0,28.4338,-11.35952
ETB10070,Collège 349-SOU,2018-2019,Souss-Massa,SOU,Taroudannt,Urbain,Public,Collégial,5,555,1992,0,0,0,0,0,33.99152,-4.72319
ETB10071,Collège 198-ORI,2019-2020,Oriental,ORI,Guercif,Urbain,Public,Collégial,18,515,1995,0,0,0,1,1,33.86915,-9.53791
ETB10072,École 202-CAS,2021-2022,Casablanca-Settat,CAS,El Jadida,Rural,Privé,Primaire,31,219,1974,0,0,1,1,0,30.5145,-11.72702
ETB10073,École 436-SOU,2022-2023,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Public,Primaire,29,269,1969,0,1,1,1,0,31.01965,-8.66836
ETB10074,École 126-SOU,2019-2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Urbain,Public,Primaire,9,328,2014,1,0,1,1,0,30.31328,-9.93077
ETB10075,Lycée 168-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Qualifiant,29,60,2005,0,0,1,0,0,33.47735,-1.02997
ETB10076,École 13-FES,2021-2022,Fès-Meknès,FES,Meknès,Rural,Public,Primaire,14,407,1980,1,0,1,0,0,30.54021,-11.58866
ETB10077,École 475-FES,2016-2017,Fès-Meknès,FES,Meknès,Urbain,Public,Primaire,18,235,1960,1,0,1,1,0,29.4166,-9.34992
ETB10078,Lycée 71-SOU,2023-2024,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Public,Qualifiant,5,515,2016,0,0,1,0,0,31.8639,-1.15497
ETB10079,École 89-CAS,2018-2019,Casablanca-Settat,CAS,Berrechid,Urbain,Public,Primaire,7,208,2019,1,0,1,0,1,28.65729,-9.69716
ETB10080,Jardin 478-TAN,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Public,Préscolaire,14,60,1976,0,0,1,1,0,34.44516,-12.32107
ETB10081,École 428-RAB,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Privé,Primaire,14,476,1964,1,0,1,0,0,35.86011,-6.27747
ETB10082,Jardin 193-TAN,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Public,Préscolaire,15,53,1994,0,1,1,1,0,33.6504,-9.01332
ETB10083,École 371-CAS,2017-2018,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,30,471,1990,0,1,1,0,0,32.00819,-5.99572
ETB10084,École 419-CAS,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Public,Primaire,18,304,2018,1,0,1,0,0,27.79345,-6.78326
ETB10085,Lycée 246-BMK,2018-2019,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Public,Qualifiant,12,301,2013,1,0,1,1,0,28.49064,-12.90056
ETB10086,École 322-SOU,2017-2018,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Public,Primaire,24,319,2002,1,0,0,0,1,33.23025,-9.83617
ETB10087,Jardin 327-DRA,2016-2017,Drâa-Tafilalet,DRA,Tinghir,Urbain,Public,Préscolaire,31,50,1964,0,0,1,1,1,33.88865,-2.94113
ETB10088,École 316-CAS,2016-2017,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Primaire,8,189,1973,1,0,1,1,0,28.01435,-11.82676
ETB10089,École 211-RAB,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Rural,Public,Primaire,7,449,1973,0,0,1,1,1,29.3393,-12.86233
ETB10090,École 225-CAS,2015-2016,Casablanca-Settat,CAS,Casablanca,Rural,Privé,Primaire,28,267,1997,0,0,0,1,1,33.04843,-10.44874
ETB10091,Lycée 429-MAR,2016-2017,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Qualifiant,21,472,1984,0,1,0,0,0,29.36334,-7.96863
ETB10092,Lycée 479-FES,2018-2019,Fès-Meknès,FES,Ifrane,Rural,Public,Qualifiant,11,483,1977,1,1,0,1,1,35.59519,-8.4938
ETB10093,École 82-RAB,2023-2024,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Public,Primaire,27,340,2009,0,0,1,1,1,28.28635,-4.921
ETB10094,Lycée 136-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Kénitra,Rural,Privé,Qualifiant,20,409,1991,0,0,0,1,1,29.6097,-11.83615
ETB10095,Lycée 324-CAS,2017-2018,Casablanca-Settat,CAS,Casablanca,Rural,Privé,Qualifiant,29,311,1998,0,0,0,1,1,29.58234,-12.39491
ETB10096,École 485-CAS,2023-2024,Casablanca-Settat,CAS,Casablanca,Rural,Privé,Primaire,17,443,1993,0,0,1,0,0,35.23926,-11.02946
ETB10097,Collège 161-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Collégial,9,560,2011,0,0,1,1,0,35.4571,-6.25845
ETB10098,Collège 221-RAB,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Privé,Collégial,30,648,2012,0,0,1,0,1,30.78943,-7.3834
ETB10099,École 99-ORI,2023-2024,Oriental,ORI,Nador,Urbain,Public,Primaire,27,217,1998,0,0,1,1,1,32.05217,-12.82976
ETB10100,École 32-FES,2023-2024,Fès-Meknès,FES,Fès,Rural,Public,Primaire,10,445,2001,1,0,1,1,0,33.80902,-9.04911
ETB10101,École 144-CAS,2021-2022,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Primaire,14,382,1965,1,0,1,1,0,29.05609,-1.05577
ETB10102,École 341-MAR,2017-2018,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,23,523,1982,1,0,0,1,0,32.77135,-12.65231
ETB10103,Collège 490-DRA,2023-2024,Drâa-Tafilalet,DRA,Ouarzazate,Urbain,Privé,Collégial,4,511,1987,0,1,1,1,1,35.26619,-2.69812
ETB10104,Lycée 484-SOU,2019-2020,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Public,Qualifiant,28,375,1999,0,0,0,1,0,32.0801,-10.89217
ETB10105,École 472-MAR,2022-2023,Marrakech-Safi,MAR,Youssoufia,Urbain,Public,Primaire,19,396,2018,0,1,0,1,0,30.73675,-11.82773
ETB10106,Jardin 234-FES,2021-2022,Fès-Meknès,FES,El Hajeb,Urbain,Privé,Préscolaire,4,64,2012,1,1,1,0,1,35.85227,-9.13499
ETB10107,École 19-SOU,2023-2024,Souss-Massa,SOU,Tiznit,Urbain,Public,Primaire,13,216,1983,0,1,1,1,0,35.89576,-11.27229
ETB10108,École 67-MAR,2021-2022,Marrakech-Safi,MAR,Youssoufia,Urbain,Privé,Primaire,15,382,1982,1,0,0,0,0,30.41425,-9.94077
ETB10109,École 281-ORI,2019-2020,Oriental,ORI,Jerada,Rural,Privé,Primaire,28,170,2012,1,0,0,0,1,30.34825,-6.69167
ETB10110,École 407-BMK,2019-2020,Béni Mellal-Khénifra,BMK,Azilal,Rural,Privé,Primaire,28,340,1995,0,0,1,1,1,30.1926,-3.26841
ETB10111,École 135-SOU,2020-2021,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Public,Primaire,17,420,2010,0,1,1,1,1,34.89684,-10.84505
ETB10112,École 341-DRA,2016-2017,Drâa-Tafilalet,DRA,Midelt,Rural,Public,Primaire,31,264,1960,1,0,0,0,1,32.75181,-11.70154
ETB10113,Lycée 227-BMK,2018-2019,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Privé,Qualifiant,23,449,1990,0,0,0,1,0,28.98032,-12.11695
ETB10114,École 200-ORI,2019-2020,Oriental,ORI,Berkane,Urbain,Privé,Primaire,16,341,1968,1,0,0,0,0,30.43837,-1.7585
ETB10115,Lycée 46-TAN,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Public,Qualifiant,25,449,1977,0,1,0,1,1,35.86901,-8.08811
ETB10116,Lycée 470-FES,2017-2018,Fès-Meknès,FES,Ifrane,Urbain,Privé,Qualifiant,20,358,2005,1,0,1,1,0,31.22014,-10.1039
ETB10117,OFPPT 289-SOU,2023-2024,Souss-Massa,SOU,Tata,Urbain,Public,Formation Professionnelle,33,388,1964,1,0,1,1,0,30.45354,-11.6451
ETB10118,École 383-TAN,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Privé,Primaire,34,352,1996,1,0,1,1,1,30.3009,-12.41396
ETB10119,Collège 425-RAB,2017-2018,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Public,Collégial,31,631,2001,1,0,0,1,0,32.51777,-2.42387
ETB10120,Collège 485-FES,2021-2022,Fès-Meknès,FES,Taza,Urbain,Public,Collégial,30,639,1986,1,0,0,0,1,33.82018,-12.48823
ETB10121,École 482-BMK,2020-2021,Béni Mellal-Khénifra,BMK,Khouribga,Rural,Public,Primaire,29,295,2005,0,0,0,0,0,28.61422,-11.73134
ETB10122,École 142-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Public,Primaire,18,310,1964,0,0,0,1,1,35.79002,-11.38583
ETB10123,École 263-TAN,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Public,Primaire,15,381,1964,1,0,0,0,0,28.04442,-8.22515
ETB10124,École 222-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Public,Primaire,19,338,1961,1,0,0,1,0,28.34529,-7.82215
ETB10125,Collège 126-CAS,2020-2021,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Collégial,16,476,1972,0,1,0,1,1,31.18866,-5.62796
ETB10126,Lycée 289-BMK,2019-2020,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Public,Qualifiant,20,215,1977,1,0,0,0,1,29.8857,-7.60705
ETB10127,Lycée 380-FES,2016-2017,Fès-Meknès,FES,Taounate,Rural,Public,Qualifiant,22,216,2009,0,1,0,1,0,30.9574,-5.45354
ETB10128,École 323-RAB,2023-2024,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Public,Primaire,6,449,1967,0,1,1,1,0,28.36291,-1.84959
ETB10129,Collège 62-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Public,Collégial,8,642,1990,0,0,1,1,0,31.5162,-10.42971
ETB10130,École 139-MAR,2016-2017,Marrakech-Safi,MAR,Chichaoua,Urbain,Privé,Primaire,13,322,1984,1,0,0,1,1,34.3288,-9.29581
ETB10131,École 395-MAR,2022-2023,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Primaire,9,447,2012,0,0,1,0,1,28.49467,-6.43341
ETB10132,Collège 247-SOU,2017-2018,Souss-Massa,SOU,Taroudannt,Rural,Public,Collégial,16,437,2018,1,1,1,0,0,32.22881,-11.51357
ETB10133,Jardin 282-RAB,2016-2017,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Privé,Préscolaire,10,55,1973,1,1,1,0,1,32.20286,-9.36929
ETB10134,Collège 359-SOU,2015-2016,Souss-Massa,SOU,Tiznit,Rural,Public,Collégial,20,385,2016,0,1,1,1,1,33.39842,-8.95199
ETB10135,Collège 427-FES,2017-2018,Fès-Meknès,FES,El Hajeb,Rural,Public,Collégial,6,412,2008,0,0,0,0,0,29.59825,-4.16735
ETB10136,Lycée 168-BMK,2023-2024,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Public,Qualifiant,27,351,2019,0,1,1,0,1,31.18176,-12.27712
ETB10137,Collège 491-CAS,2019-2020,Casablanca-Settat,CAS,Benslimane,Rural,Privé,Collégial,32,247,2020,1,0,0,1,0,31.72763,-13.14182
ETB10138,Jardin 491-FES,2023-2024,Fès-Meknès,FES,Séfrou,Rural,Public,Préscolaire,27,36,2009,0,0,1,0,0,31.38753,-5.51752
ETB10139,École 417-CAS,2018-2019,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Primaire,21,225,1984,1,1,0,0,0,34.18239,-1.06876
ETB10140,École 162-ORI,2015-2016,Oriental,ORI,Nador,Urbain,Public,Primaire,6,395,2008,1,1,1,1,1,29.88818,-11.5896
ETB10141,École 393-CAS,2018-2019,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,7,349,2005,1,1,1,1,1,35.01201,-10.12539
ETB10142,École 115-CAS,2015-2016,Casablanca-Settat,CAS,El Jadida,Rural,Public,Primaire,3,441,2019,1,0,0,1,1,35.72933,-1.20576
ETB10143,OFPPT 353-FES,2022-2023,Fès-Meknès,FES,Fès,Urbain,Privé,Formation Professionnelle,33,233,1975,0,0,1,0,1,32.04496,-3.50235
ETB10144,Collège 247-MAR,2017-2018,Marrakech-Safi,MAR,Safi,Urbain,Public,Collégial,26,543,1988,1,0,0,0,0,29.60034,-2.97916
ETB10145,OFPPT 17-RAB,2021-2022,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Privé,Formation Professionnelle,30,308,2018,1,1,1,0,0,29.10493,-8.69714
ETB10146,École 46-CAS,2019-2020,Casablanca-Settat,CAS,Khouribga,Urbain,Privé,Primaire,6,283,2004,1,1,0,1,0,33.69099,-7.07371
ETB10147,Lycée 47-FES,2015-2016,Fès-Meknès,FES,Séfrou,Rural,Public,Qualifiant,29,370,2007,0,0,1,1,0,31.71677,-6.58678
ETB10148,École 445-TAN,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Public,Primaire,11,283,1978,1,1,1,1,0,29.95087,-5.75385
ETB10149,Collège 437-MAR,2017-2018,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Collégial,11,356,2016,1,0,0,1,0,33.30934,-9.16788
ETB10150,Lycée 430-BMK,2015-2016,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Public,Qualifiant,19,473,1961,1,0,0,1,1,33.88569,-9.14354
ETB10151,Collège 333-BMK,2019-2020,Béni Mellal-Khénifra,BMK,Azilal,Rural,Public,Collégial,22,318,2012,0,1,0,1,1,33.98208,-4.70853
ETB10152,École 129-DRA,2015-2016,Drâa-Tafilalet,DRA,Midelt,Rural,Privé,Primaire,12,240,1975,1,0,1,0,0,29.48649,-9.96179
ETB10153,Jardin 429-TAN,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Préscolaire,8,57,1972,1,1,0,1,1,35.17268,-7.97363
ETB10154,École 268-BMK,2017-2018,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Public,Primaire,23,322,1977,0,1,0,0,0,29.03984,-10.13832
ETB10155,Lycée 341-BMK,2016-2017,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Public,Qualifiant,15,307,2004,0,0,0,0,0,33.31519,-9.80802
ETB10156,Jardin 197-ORI,2017-2018,Oriental,ORI,Figuig,Urbain,Privé,Préscolaire,4,61,1992,0,0,1,1,0,33.61327,-7.70401
ETB10157,Lycée 26-MAR,2018-2019,Marrakech-Safi,MAR,Chichaoua,Urbain,Public,Qualifiant,24,370,2003,1,0,1,1,0,34.52641,-3.02223
ETB10158,Collège 309-RAB,2018-2019,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Public,Collégial,15,312,1988,0,0,0,1,1,28.64895,-9.42124
ETB10159,Collège 276-LAA,2019-2020,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Urbain,Public,Collégial,4,465,2017,1,1,0,0,1,30.86864,-7.41311
ETB10160,École 146-FES,2020-2021,Fès-Meknès,FES,Boulemane,Urbain,Public,Primaire,8,514,1969,1,0,1,0,0,31.34597,-9.20678
ETB10161,École 115-CAS,2021-2022,Casablanca-Settat,CAS,Benslimane,Urbain,Public,Primaire,30,254,2012,0,0,1,0,1,31.16403,-6.64312
