id_eleve,annee_scolaire,region,code_region,province,milieu,secteur,cycle,genre,age,redoublant,score_moyen,a_abandonne,motif_abandon,beneficiaire_bourse,acces_cantine,acces_internat
EL100078,2023-2024,Fès-Meknès,FES,Ifrane,Urbain,Public,Collégial,Féminin,15,1,9.79,0,,0,0,0
EL100079,2021-2022,Oriental,ORI,Driouch,Urbain,Public,Préscolaire,Masculin,5,1,10.76,0,,1,1,0
EL100080,2020-2021,Souss-Massa,SOU,Taroudannt,Rural,Public,Primaire,Masculin,10,0,4.02,0,,0,0,0
EL100081,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Collégial,Masculin,14,0,12.03,0,,1,0,0
EL100082,2022-2023,Oriental,ORI,Taourirt,Urbain,Public,Primaire,Féminin,10,0,8.72,0,,1,0,0
EL100083,2020-2021,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Qualifiant,Masculin,17,0,11.98,0,,1,1,0
EL100084,2017-2018,Casablanca-Settat,CAS,Casablanca,Urbain,Privé,Primaire,Masculin,11,0,8.23,0,,1,0,0
EL100085,2015-2016,Casablanca-Settat,CAS,Settat,Urbain,Public,Supérieur,Féminin,22,0,11.41,0,,0,0,0
EL100086,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Public,Primaire,Masculin,6,0,12.14,0,,0,0,0
EL100087,2017-2018,Marrakech-Safi,MAR,Youssoufia,Rural,Public,Qualifiant,Féminin,18,0,10.29,0,,0,0,0
EL100088,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Public,Primaire,Féminin,10,0,10.05,0,,0,0,0
EL100089,2015-2016,Fès-Meknès,FES,Taza,Rural,Privé,Collégial,Masculin,12,0,10.17,0,,0,0,0
EL100090,2016-2017,Casablanca-Settat,CAS,Berrechid,Urbain,Public,Primaire,Féminin,11,0,15.53,0,,0,0,0
EL100091,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Public,Collégial,Masculin,13,0,8.77,0,,0,0,0
EL100092,2018-2019,Marrakech-Safi,MAR,Safi,Urbain,Public,Primaire,Masculin,10,0,16.34,0,,1,1,0
EL100093,2016-2017,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Qualifiant,Féminin,15,0,10.77,0,,0,0,0
EL100094,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Privé,Collégial,Masculin,13,0,16.89,0,,0,0,0
EL100095,2023-2024,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Public,Formation Professionnelle,Féminin,21,0,11.28,0,,0,0,0
EL100096,2019-2020,Marrakech-Safi,MAR,Safi,Rural,Public,Qualifiant,Féminin,17,0,13.01,0,,0,0,1
EL100097,2016-2017,Casablanca-Settat,CAS,Sidi Bennour,Rural,Public,Collégial,Féminin,13,0,7.54,0,,0,1,0
EL100098,2020-2021,Casablanca-Settat,CAS,Benslimane,Rural,Public,Supérieur,Masculin,21,1,5.44,1,Grossesse,1,0,0
EL100099,2022-2023,Drâa-Tafilalet,DRA,Midelt,Urbain,Public,Primaire,Masculin,7,0,15.25,0,,0,0,0
EL100100,2023-2024,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Public,Collégial,Masculin,13,1,15.77,0,,0,0,0
EL100101,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Primaire,Masculin,6,0,9.38,0,,0,0,0
EL100102,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Public,Qualifiant,Masculin,15,1,16.51,0,,0,1,1
EL100103,2022-2023,Drâa-Tafilalet,DRA,Ouarzazate,Urbain,Public,Préscolaire,Masculin,7,0,6.14,0,,0,0,0
EL100104,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Public,Primaire,Féminin,8,0,11.47,0,,0,1,0
EL100105,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Public,Collégial,Masculin,13,0,9.9,1,Grossesse,0,0,0
EL100106,2020-2021,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Primaire,Masculin,6,0,11.15,0,,0,0,1
EL100107,2021-2022,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Privé,Primaire,Féminin,11,0,16.3,0,,0,0,0
EL100108,2019-2020,Casablanca-Settat,CAS,Khouribga,Urbain,Public,Primaire,Masculin,6,0,6.76,0,,1,0,0
EL100109,2021-2022,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Public,Supérieur,Masculin,19,0,11.66,0,,0,0,0
EL100110,2020-2021,Marrakech-Safi,MAR,Safi,Rural,Public,Primaire,Masculin,9,1,6.27,0,,0,1,0
EL100111,2017-2018,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,Masculin,7,0,9.15,0,,0,0,0
EL100112,2019-2020,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Public,Formation Professionnelle,Masculin,22,0,12.27,0,,0,0,0
EL100113,2023-2024,Fès-Meknès,FES,Fès,Rural,Public,Supérieur,Masculin,23,0,10.28,0,,0,0,0
EL100114,2022-2023,Casablanca-Settat,CAS,Mohammadia,Rural,Public,Préscolaire,Masculin,5,0,11.19,0,,1,1,0
EL100115,2020-2021,Béni Mellal-Khénifra,BMK,Khouribga,Urbain,Privé,Collégial,Masculin,13,0,8.97,0,,0,1,1
EL100116,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Public,Préscolaire,Masculin,7,0,14.05,0,,0,1,0
EL100117,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Public,Formation Professionnelle,Féminin,21,0,8.8,1,Difficultés scolaires,0,0,0
EL100118,2017-2018,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Primaire,Féminin,12,0,13.39,0,,0,1,0
EL100119,2017-2018,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Public,Primaire,Masculin,8,0,10.34,0,,0,1,0
EL100120,2023-2024,Fès-Meknès,FES,Taza,Urbain,Public,Primaire,Féminin,12,0,14.08,0,,0,0,0
EL100121,2019-2020,Souss-Massa,SOU,Taroudannt,Urbain,Public,Collégial,Féminin,14,0,16.56,0,,0,0,0
EL100122,2018-2019,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Public,Primaire,Féminin,8,0,11.06,0,,1,0,0
EL100123,2022-2023,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Qualifiant,Masculin,15,0,16.1,0,,1,0,0
EL100124,2018-2019,Casablanca-Settat,CAS,Berrechid,Rural,Public,Collégial,Masculin,13,0,12.57,0,,0,0,0
EL100125,2022-2023,Fès-Meknès,FES,Taounate,Urbain,Public,Collégial,Masculin,13,1,12.27,0,,0,0,0
EL100126,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Public,Supérieur,Féminin,21,0,7.71,0,,0,0,0
EL100127,2017-2018,Casablanca-Settat,CAS,Casablanca,Rural,Privé,Primaire,Féminin,12,0,10.47,0,,0,1,0
EL100128,2023-2024,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Primaire,Féminin,10,0,12.56,0,,1,0,0
EL100129,2021-2022,Fès-Meknès,FES,Taounate,Urbain,Privé,Primaire,Masculin,11,0,11.89,0,,0,0,0
EL100130,2023-2024,Casablanca-Settat,CAS,Berrechid,Urbain,Public,Qualifiant,Féminin,19,0,12.61,0,,0,0,0
EL100131,2015-2016,Drâa-Tafilalet,DRA,Zagora,Urbain,Privé,Préscolaire,Féminin,5,0,13.66,0,,0,1,0
EL100132,2017-2018,Fès-Meknès,FES,Meknès,Urbain,Public,Qualifiant,Féminin,16,0,8.41,0,,0,0,0
EL100133,2017-2018,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Public,Collégial,Féminin,12,0,9.3,0,,1,0,0
EL100134,2021-2022,Fès-Meknès,FES,Taza,Urbain,Public,Collégial,Masculin,13,1,15.28,0,,0,1,0
EL100135,2022-2023,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Collégial,Masculin,14,0,10.09,0,,0,0,0
EL100136,2016-2017,Drâa-Tafilalet,DRA,Midelt,Rural,Privé,Préscolaire,Féminin,4,1,8.35,0,,1,1,0
EL100137,2016-2017,Fès-Meknès,FES,Fès,Urbain,Public,Primaire,Masculin,7,0,9.14,0,,0,0,0
EL100138,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Public,Qualifiant,Féminin,18,0,12.9,0,,0,1,1
EL100139,2018-2019,Casablanca-Settat,CAS,El Jadida,Rural,Privé,Primaire,Féminin,6,0,10.46,1,Travail enfant,0,1,0
EL100140,2021-2022,Fès-Meknès,FES,Taounate,Urbain,Public,Collégial,Féminin,13,1,7.7,0,,1,0,0
EL100141,2015-2016,Fès-Meknès,FES,Meknès,Rural,Public,Formation Professionnelle,Masculin,21,0,9.21,0,,0,1,0
EL100142,2019-2020,Drâa-Tafilalet,DRA,Zagora,Rural,Public,Préscolaire,Féminin,6,1,12.3,0,,0,0,1
EL100143,2015-2016,Fès-Meknès,FES,Taounate,Urbain,Privé,Primaire,Masculin,8,0,10.58,0,,1,0,0
EL100144,2023-2024,Marrakech-Safi,MAR,Al Haouz,Rural,Public,Primaire,Féminin,11,0,12.06,0,,0,0,0
EL100145,2016-2017,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Public,Primaire,Masculin,11,0,12.42,0,,1,1,0
EL100146,2016-2017,Rabat-Salé-Kénitra,RAB,Salé,Rural,Privé,Formation Professionnelle,Féminin,24,0,11.94,1,Handicap,0,0,0
EL100147,2015-2016,Fès-Meknès,FES,El Hajeb,Rural,Public,Formation Professionnelle,Féminin,26,0,7.66,0,,0,0,0
EL100148,2016-2017,Marrakech-Safi,MAR,Youssoufia,Rural,Public,Primaire,Masculin,9,1,7.45,0,,1,0,0
EL100149,2019-2020,Casablanca-Settat,CAS,El Jadida,Urbain,Public,Formation Professionnelle,Masculin,17,0,14.18,0,,0,0,0
EL100150,2020-2021,Oriental,ORI,Oujda-Angad,Rural,Public,Préscolaire,Masculin,4,0,12.58,1,Difficultés scolaires,1,0,0
EL100151,2023-2024,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Urbain,Privé,Formation Professionnelle,Féminin,23,0,13.14,0,,1,0,0
EL100152,2022-2023,Casablanca-Settat,CAS,Khouribga,Rural,Public,Supérieur,Féminin,19,0,11.21,0,,1,0,0
EL100153,2015-2016,Fès-Meknès,FES,Moulay Yacoub,Urbain,Public,Primaire,Féminin,9,0,13.53,0,,1,0,0
EL100154,2018-2019,Casablanca-Settat,CAS,Casablanca,Urbain,Public,Collégial,Masculin,12,0,9.9,0,,0,1,0
EL100155,2022-2023,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Public,Qualifiant,Masculin,17,0,13.42,0,,0,0,1
EL100156,2016-2017,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Privé,Primaire,Masculin,7,0,11.86,0,,0,0,0
EL100157,2021-2022,Souss-Massa,SOU,Chtouka-Ait Baha,Rural,Public,Primaire,Masculin,11,1,10.11,0,,0,0,0
EL100158,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Privé,Collégial,Féminin,13,1,17.17,0,,1,0,0
EL100159,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Public,Primaire,Féminin,11,0,13.33,0,,0,1,1
EL100160,2015-2016,Casablanca-Settat,CAS,Settat,Rural,Public,Primaire,Masculin,7,0,8.81,0,,0,0,0
EL100161,2017-2018,Béni Mellal-Khénifra,BMK,El Kelaa des Sraghna,Rural,Public,Primaire,Féminin,8,0,12.15,0,,0,0,0
EL100162,2015-2016,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Public,Qualifiant,Masculin,15,0,10.52,0,,0,0,0
EL100163,2016-2017,Casablanca-Settat,CAS,Mohammadia,Rural,Public,Primaire,Féminin,11,0,10.71,1,Difficultés économiques,1,0,0
EL100164,2019-2020,Fès-Meknès,FES,Moulay Yacoub,Urbain,Public,Collégial,Masculin,14,0,12.31,0,,1,0,0
EL100165,2022-2023,Marrakech-Safi,MAR,Youssoufia,Rural,Public,Primaire,Masculin,12,0,6.02,0,,1,0,0
EL100166,2019-2020,Oriental,ORI,Berkane,Rural,Public,Primaire,Masculin,9,1,9.44,1,Grossesse,0,1,0
EL100167,2021-2022,Oriental,ORI,Nador,Urbain,Public,Collégial,Masculin,12,0,10.57,1,Difficultés économiques,0,0,0
EL100168,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Public,Primaire,Féminin,11,0,11.94,0,,0,0,0
EL100169,2017-2018,Drâa-Tafilalet,DRA,Midelt,Urbain,Public,Collégial,Féminin,13,0,7.62,0,,0,0,0
EL100170,2020-2021,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Privé,Primaire,Masculin,8,1,7.55,0,,0,1,0
EL100171,2015-2016,Fès-Meknès,FES,Ifrane,Urbain,Public,Collégial,Féminin,12,0,11.93,0,,0,0,0
EL100172,2020-2021,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Public,Primaire,Masculin,11,0,14.79,0,,0,1,0
EL100173,2016-2017,Drâa-Tafilalet,DRA,Tinghir,Urbain,Public,Supérieur,Féminin,19,0,11.8,0,,0,0,0
EL100174,2018-2019,Casablanca-Settat,CAS,Benslimane,Rural,Public,Préscolaire,Masculin,4,0,17.87,0,,0,0,0
EL100175,2020-2021,Casablanca-Settat,CAS,Settat,Rural,Public,Supérieur,Féminin,21,0,9.74,0,,0,1,0
EL100176,2023-2024,Marrakech-Safi,MAR,Al Haouz,Urbain,Public,Primaire,Féminin,9,1,11.24,0,,0,0,0
EL100177,2015-2016,Guelmim-Oued Noun,GUE,Assa-Zag,Urbain,Public,Préscolaire,Féminin,6,0,9.4,0,,0,1,0
EL100178,2019-2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Public,Collégial,Masculin,14,0,15.41,0,,0,1,1
EL100179,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Public,Primaire,Masculin,10,1,9.48,0,,1,0,0
EL100180,2015-2016,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Public,Primaire,Masculin,9,0,10.98,1,Handicap,0,1,0
EL100181,2020-2021,Béni Mellal-Khénifra,BMK,Azilal,Rural,Public,Qualifiant,Féminin,17,0,4.2,1,Mariage précoce,0,1,1
EL100182,2015-2016,Fès-Meknès,FES,Taounate,Urbain,Public,Qualifiant,Féminin,18,1,15.24,0,,0,1,0
EL100183,2021-2022,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Public,Collégial,Féminin,12,1,13.71,0,,0,0,0
EL100184,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Privé,Formation Professionnelle,Féminin,21,0,11.62,0,,0,1,0
EL100185,2016-2017,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Public,Primaire,Masculin,10,0,10.22,0,,0,1,0
EL100186,2015-2016,Marrakech-Safi,MAR,Safi,Rural,Public,Préscolaire,Masculin,5,0,11.58,0,,0,0,0
EL100187,2019-2020,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Qualifiant,Féminin,15,0,17.25,0,,0,1,1
EL100188,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Public,Primaire,Masculin,10,0,10.22,0,,1,0,0
EL100189,2019-2020,Rabat-Salé-Kénitra,RAB,Rabat,Urbain,Privé,Primaire,Féminin,10,1,13.69,1,Travail enfant,0,0,1
EL100190,2023-2024,Drâa-Tafilalet,DRA,Tinghir,Urbain,Public,Préscolaire,Masculin,4,0,7.94,0,,1,0,0
EL100191,2022-2023,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Public,Primaire,Féminin,8,1,13.46,0,,0,1,0
EL100192,2021-2022,Casablanca-Settat,CAS,Settat,Urbain,Public,Primaire,Masculin,11,0,14.91,0,,0,0,0
EL100193,2019-2020,Oriental,ORI,Taourirt,Rural,Public,Primaire,Féminin,9,1,8.3,0,,0,0,0
EL100194,2016-2017,Casablanca-Settat,CAS,Casablanca,Rural,Public,Collégial,Féminin,12,0,9.82,1,Éloignement de l'établissement,0,0,0
EL100195,2018-2019,Casablanca-Settat,CAS,Mohammadia,Urbain,Public,Qualifiant,Masculin,16,0,15.15,0,,1,0,0
EL100196,2015-2016,Souss-Massa,SOU,Tata,Urbain,Public,Formation Professionnelle,Masculin,24,1,11.63,0,,0,1,0
