id_abandon,annee_scolaire,region,code_region,province,milieu,cycle,niveau_classe,genre,age_abandon,motif_principal,distance_etablissement,revenu_menage_mensuel,nb_enfants_menage,parent_analphabete,retour_ecole
AB400034,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Primaire,Année 1,Féminin,12,Difficultés économiques,1–5 km,2000-4000 MAD,8,1,0
AB400035,2021-2022,Casablanca-Settat,CAS,Settat,Urbain,Collégial,Année 2,Masculin,13,Difficultés économiques,< 1 km,2000-4000 MAD,5,1,0
AB400036,2015-2016,Oriental,ORI,Oujda-Angad,Urbain,Collégial,Année 3,Masculin,13,Travail enfant,> 15 km,2000-4000 MAD,8,0,0
AB400037,2016-2017,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Urbain,Collégial,Année 1,Masculin,15,Mariage précoce,1–5 km,4000-7000 MAD,2,1,1
AB400038,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Primaire,Année 2,Masculin,10,Travail enfant,< 1 km,2000-4000 MAD,1,1,0
AB400039,2022-2023,Marrakech-Safi,MAR,Youssoufia,Rural,Qualifiant,Année 2,Masculin,17,Mariage précoce,< 1 km,2000-4000 MAD,2,0,0
AB400040,2023-2024,Casablanca-Settat,CAS,Khouribga,Rural,Primaire,Année 2,Féminin,8,Mariage précoce,> 15 km,< 2000 MAD,6,1,0
AB400041,2019-2020,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Collégial,Année 2,Masculin,15,Éloignement de l'établissement,< 1 km,2000-4000 MAD,3,0,0
AB400042,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Rural,Collégial,Année 1,Masculin,13,Éloignement de l'établissement,< 1 km,4000-7000 MAD,2,0,0
AB400043,2016-2017,Fès-Meknès,FES,Ifrane,Rural,Primaire,Année 6,Masculin,11,Difficultés économiques,1–5 km,4000-7000 MAD,6,1,0
AB400044,2015-2016,Casablanca-Settat,CAS,Sidi Bennour,Rural,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,< 1 km,< 2000 MAD,4,0,1
AB400045,2018-2019,Casablanca-Settat,CAS,Berrechid,Rural,Collégial,Année 3,Masculin,15,Difficultés scolaires,1–5 km,< 2000 MAD,6,1,0
AB400046,2015-2016,Casablanca-Settat,CAS,Khouribga,Urbain,Collégial,Année 1,Masculin,14,Mariage précoce,< 1 km,4000-7000 MAD,1,0,0
AB400047,2016-2017,Casablanca-Settat,CAS,Mohammadia,Rural,Collégial,Année 2,Féminin,13,Éloignement de l'établissement,1–5 km,4000-7000 MAD,1,1,0
AB400048,2021-2022,Drâa-Tafilalet,DRA,Errachidia,Urbain,Qualifiant,Année 1,Masculin,17,Difficultés économiques,< 1 km,< 2000 MAD,8,0,0
AB400049,2021-2022,Marrakech-Safi,MAR,Chichaoua,Urbain,Collégial,Année 3,Masculin,14,Difficultés économiques,5–15 km,> 7000 MAD,5,1,0
AB400050,2021-2022,Oriental,ORI,Oujda-Angad,Rural,Primaire,Année 1,Masculin,10,Éloignement de l'établissement,< 1 km,4000-7000 MAD,1,1,1
AB400051,2018-2019,Marrakech-Safi,MAR,Al Haouz,Urbain,Qualifiant,Année 3,Masculin,16,Mariage précoce,< 1 km,< 2000 MAD,7,0,0
AB400052,2016-2017,Oriental,ORI,Figuig,Urbain,Collégial,Année 1,Masculin,14,Difficultés scolaires,< 1 km,4000-7000 MAD,7,1,0
AB400053,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Rural,Primaire,Année 4,Masculin,12,Grossesse,> 15 km,< 2000 MAD,5,0,0
AB400054,2021-2022,Oriental,ORI,Oujda-Angad,Rural,Qualifiant,Année 3,Féminin,18,Mariage précoce,< 1 km,4000-7000 MAD,1,1,0
AB400055,2016-2017,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Collégial,Année 2,Féminin,14,Travail enfant,5–15 km,< 2000 MAD,4,1,0
AB400056,2020-2021,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Collégial,Année 3,Féminin,14,Difficultés scolaires,1–5 km,2000-4000 MAD,6,1,0
AB400057,2023-2024,Casablanca-Settat,CAS,El Jadida,Rural,Collégial,Année 3,Masculin,13,Éloignement de l'établissement,1–5 km,< 2000 MAD,4,1,0
AB400058,2015-2016,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Primaire,Année 4,Féminin,11,Travail enfant,5–15 km,> 7000 MAD,5,1,0
AB400059,2023-2024,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Collégial,Année 1,Féminin,13,Grossesse,< 1 km,< 2000 MAD,5,1,0
AB400060,2021-2022,Casablanca-Settat,CAS,Settat,Rural,Collégial,Année 1,Féminin,15,Mariage précoce,1–5 km,< 2000 MAD,1,0,1
AB400061,2020-2021,Fès-Meknès,FES,Boulemane,Rural,Collégial,Année 1,Féminin,15,Travail enfant,1–5 km,4000-7000 MAD,6,1,0
AB400062,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Primaire,Année 6,Masculin,9,Travail enfant,< 1 km,< 2000 MAD,7,0,0
AB400063,2015-2016,Casablanca-Settat,CAS,Benslimane,Rural,Collégial,Année 2,Masculin,15,Autre,1–5 km,2000-4000 MAD,8,0,1
AB400064,2021-2022,Fès-Meknès,FES,Fès,Urbain,Collégial,Année 2,Féminin,14,Travail enfant,5–15 km,2000-4000 MAD,4,1,0
AB400065,2018-2019,Oriental,ORI,Oujda-Angad,Rural,Collégial,Année 3,Féminin,15,Autre,1–5 km,2000-4000 MAD,3,1,0
AB400066,2016-2017,Casablanca-Settat,CAS,Settat,Urbain,Collégial,Année 3,Masculin,15,Difficultés économiques,1–5 km,< 2000 MAD,2,0,0
AB400067,2015-2016,Fès-Meknès,FES,Séfrou,Urbain,Collégial,Année 3,Masculin,13,Difficultés économiques,1–5 km,4000-7000 MAD,2,0,0
AB400068,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Primaire,Année 2,Féminin,9,Autre,1–5 km,4000-7000 MAD,5,0,0
AB400069,2017-2018,Drâa-Tafilalet,DRA,Midelt,Rural,Qualifiant,Année 2,Masculin,17,Difficultés scolaires,> 15 km,< 2000 MAD,1,1,0
AB400070,2018-2019,Casablanca-Settat,CAS,Mohammadia,Urbain,Qualifiant,Année 3,Masculin,18,Mariage précoce,< 1 km,< 2000 MAD,7,0,0
AB400071,2022-2023,Souss-Massa,SOU,Inezgane-Ait Melloul,Rural,Qualifiant,Année 2,Féminin,17,Mariage précoce,< 1 km,4000-7000 MAD,8,1,0
AB400072,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Primaire,Année 6,Féminin,11,Grossesse,> 15 km,> 7000 MAD,5,0,0
AB400073,2023-2024,Marrakech-Safi,MAR,Marrakech,Rural,Collégial,Année 1,Masculin,15,Grossesse,1–5 km,> 7000 MAD,6,1,0
AB400074,2016-2017,Fès-Meknès,FES,Moulay Yacoub,Rural,Collégial,Année 1,Masculin,14,Difficultés économiques,< 1 km,2000-4000 MAD,7,1,0
AB400075,2019-2020,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Qualifiant,Année 2,Masculin,17,Mariage précoce,5–15 km,< 2000 MAD,3,1,0
AB400076,2018-2019,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Qualifiant,Année 1,Masculin,17,Travail enfant,1–5 km,< 2000 MAD,6,1,1
AB400077,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Primaire,Année 5,Féminin,8,Manque d'infrastructures,1–5 km,> 7000 MAD,8,1,1
AB400078,2018-2019,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Qualifiant,Année 3,Masculin,18,Grossesse,> 15 km,2000-4000 MAD,3,0,0
AB400079,2017-2018,Souss-Massa,SOU,Tata,Rural,Collégial,Année 1,Féminin,14,Difficultés économiques,1–5 km,2000-4000 MAD,5,0,1
AB400080,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Rural,Collégial,Année 1,Féminin,14,Travail enfant,1–5 km,4000-7000 MAD,4,1,1
AB400081,2017-2018,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Qualifiant,Année 3,Féminin,17,Difficultés économiques,> 15 km,2000-4000 MAD,3,0,0
AB400082,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Urbain,Primaire,Année 2,Masculin,7,Difficultés économiques,< 1 km,< 2000 MAD,3,1,0
AB400083,2022-2023,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Primaire,Année 2,Masculin,8,Mariage précoce,1–5 km,2000-4000 MAD,8,0,1
AB400084,2019-2020,Drâa-Tafilalet,DRA,Errachidia,Rural,Qualifiant,Année 1,Féminin,17,Difficultés scolaires,< 1 km,> 7000 MAD,1,1,0
AB400085,2021-2022,Fès-Meknès,FES,El Hajeb,Urbain,Qualifiant,Année 3,Féminin,16,Mariage précoce,5–15 km,2000-4000 MAD,5,0,0
AB400086,2016-2017,Marrakech-Safi,MAR,Essaouira,Rural,Primaire,Année 6,Féminin,12,Éloignement de l'établissement,> 15 km,< 2000 MAD,7,0,0
AB400087,2023-2024,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Qualifiant,Année 1,Féminin,17,Éloignement de l'établissement,1–5 km,4000-7000 MAD,1,1,0
AB400088,2020-2021,Marrakech-Safi,MAR,Marrakech,Rural,Primaire,Année 6,Féminin,12,Manque d'infrastructures,> 15 km,2000-4000 MAD,4,0,0
AB400089,2022-2023,Fès-Meknès,FES,Boulemane,Rural,Primaire,Année 5,Féminin,12,Travail enfant,5–15 km,< 2000 MAD,6,0,0
AB400090,2023-2024,Rabat-Salé-Kénitra,RAB,Salé,Rural,Collégial,Année 3,Masculin,15,Travail enfant,1–5 km,2000-4000 MAD,6,1,0
AB400091,2015-2016,Casablanca-Settat,CAS,Sidi Bennour,Rural,Collégial,Année 1,Féminin,15,Difficultés économiques,5–15 km,2000-4000 MAD,5,1,0
AB400092,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Collégial,Année 3,Féminin,14,Manque d'infrastructures,> 15 km,< 2000 MAD,5,1,0
AB400093,2020-2021,Casablanca-Settat,CAS,El Jadida,Urbain,Primaire,Année 5,Féminin,12,Travail enfant,1–5 km,> 7000 MAD,1,1,0
AB400094,2016-2017,Fès-Meknès,FES,Taounate,Rural,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,5–15 km,4000-7000 MAD,5,0,0
AB400095,2020-2021,Marrakech-Safi,MAR,El Kelaa des Sraghna,Rural,Qualifiant,Année 3,Féminin,17,Grossesse,< 1 km,4000-7000 MAD,6,1,1
AB400096,2017-2018,Fès-Meknès,FES,Taounate,Urbain,Qualifiant,Année 2,Féminin,16,Difficultés économiques,< 1 km,> 7000 MAD,7,1,0
AB400097,2016-2017,Marrakech-Safi,MAR,Youssoufia,Urbain,Qualifiant,Année 1,Masculin,18,Manque d'infrastructures,> 15 km,2000-4000 MAD,7,0,1
AB400098,2021-2022,Oriental,ORI,Guercif,Rural,Primaire,Année 4,Féminin,12,Travail enfant,5–15 km,4000-7000 MAD,2,0,0
AB400099,2021-2022,Marrakech-Safi,MAR,Al Haouz,Rural,Primaire,Année 4,Masculin,12,Handicap,< 1 km,> 7000 MAD,6,1,0
AB400100,2020-2021,Oriental,ORI,Berkane,Rural,Qualifiant,Année 1,Masculin,17,Mariage précoce,1–5 km,< 2000 MAD,8,1,0
AB400101,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Collégial,Année 2,Masculin,14,Difficultés économiques,> 15 km,2000-4000 MAD,7,0,1
AB400102,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Qualifiant,Année 2,Féminin,18,Difficultés économiques,< 1 km,< 2000 MAD,1,1,0
AB400103,2023-2024,Oriental,ORI,Taourirt,Urbain,Primaire,Année 2,Masculin,8,Difficultés scolaires,5–15 km,2000-4000 MAD,7,1,0
AB400104,2016-2017,Souss-Massa,SOU,Tiznit,Rural,Qualifiant,Année 2,Féminin,18,Mariage précoce,1–5 km,< 2000 MAD,8,1,0
AB400105,2019-2020,Marrakech-Safi,MAR,Chichaoua,Urbain,Collégial,Année 1,Masculin,13,Difficultés scolaires,> 15 km,< 2000 MAD,4,1,0
AB400106,2023-2024,Drâa-Tafilalet,DRA,Midelt,Urbain,Primaire,Année 3,Masculin,12,Manque d'infrastructures,< 1 km,2000-4000 MAD,1,0,0
AB400107,2021-2022,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Primaire,Année 1,Féminin,7,Difficultés économiques,5–15 km,< 2000 MAD,3,1,1
AB400108,2023-2024,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Qualifiant,Année 3,Masculin,17,Difficultés scolaires,1–5 km,2000-4000 MAD,8,1,1
AB400109,2019-2020,Marrakech-Safi,MAR,Essaouira,Rural,Collégial,Année 3,Féminin,15,Difficultés scolaires,> 15 km,2000-4000 MAD,4,1,0
AB400110,2019-2020,Drâa-Tafilalet,DRA,Tinghir,Rural,Collégial,Année 3,Masculin,14,Mariage précoce,5–15 km,2000-4000 MAD,6,1,0
AB400111,2017-2018,Marrakech-Safi,MAR,Marrakech,Urbain,Qualifiant,Année 1,Féminin,16,Travail enfant,< 1 km,< 2000 MAD,1,0,1
AB400112,2015-2016,Marrakech-Safi,MAR,Essaouira,Urbain,Primaire,Année 4,Féminin,7,Travail enfant,< 1 km,> 7000 MAD,8,1,1
AB400113,2022-2023,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Collégial,Année 1,Masculin,15,Autre,1–5 km,> 7000 MAD,6,1,0
AB400114,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Urbain,Collégial,Année 1,Masculin,13,Difficultés scolaires,< 1 km,< 2000 MAD,2,1,1
AB400115,2020-2021,Fès-Meknès,FES,Boulemane,Rural,Primaire,Année 2,Masculin,7,Difficultés économiques,1–5 km,> 7000 MAD,5,1,0
AB400116,2023-2024,Fès-Meknès,FES,Moulay Yacoub,Urbain,Primaire,Année 4,Masculin,10,Difficultés économiques,5–15 km,4000-7000 MAD,4,1,0
AB400117,2018-2019,Casablanca-Settat,CAS,Berrechid,Rural,Collégial,Année 2,Féminin,13,Difficultés économiques,< 1 km,4000-7000 MAD,4,0,0
AB400118,2022-2023,Souss-Massa,SOU,Tiznit,Urbain,Collégial,Année 1,Féminin,14,Mariage précoce,< 1 km,< 2000 MAD,5,0,1
AB400119,2015-2016,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Urbain,Collégial,Année 2,Masculin,14,Difficultés économiques,1–5 km,2000-4000 MAD,7,0,0
AB400120,2021-2022,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Qualifiant,Année 1,Masculin,16,Travail enfant,1–5 km,< 2000 MAD,8,0,1
AB400121,2020-2021,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Qualifiant,Année 1,Féminin,16,Difficultés économiques,1–5 km,< 2000 MAD,7,1,0
AB400122,2022-2023,Marrakech-Safi,MAR,Youssoufia,Urbain,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,5–15 km,4000-7000 MAD,1,1,1
AB400123,2019-2020,Casablanca-Settat,CAS,Berrechid,Rural,Collégial,Année 1,Masculin,14,Difficultés scolaires,1–5 km,2000-4000 MAD,8,1,0
AB400124,2022-2023,Casablanca-Settat,CAS,Berrechid,Urbain,Primaire,Année 1,Masculin,12,Difficultés économiques,5–15 km,< 2000 MAD,4,0,0
AB400125,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Urbain,Primaire,Année 6,Masculin,10,Éloignement de l'établissement,1–5 km,4000-7000 MAD,2,1,0
AB400126,2015-2016,Tanger-Tétouan-Al Hoceïma,TAN,Ouazzane,Rural,Collégial,Année 1,Féminin,13,Travail enfant,< 1 km,4000-7000 MAD,3,0,0
AB400127,2018-2019,Souss-Massa,SOU,Tata,Rural,Collégial,Année 1,Féminin,14,Difficultés économiques,1–5 km,2000-4000 MAD,3,0,0
AB400128,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Primaire,Année 6,Féminin,7,Travail enfant,< 1 km,4000-7000 MAD,5,1,0
AB400129,2017-2018,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,> 15 km,2000-4000 MAD,6,1,1
AB400130,2019-2020,Oriental,ORI,Jerada,Urbain,Qualifiant,Année 1,Féminin,18,Travail enfant,5–15 km,2000-4000 MAD,3,1,1
AB400131,2016-2017,Fès-Meknès,FES,Séfrou,Urbain,Qualifiant,Année 1,Féminin,16,Mariage précoce,5–15 km,< 2000 MAD,8,1,0
AB400132,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Primaire,Année 5,Féminin,9,Manque d'infrastructures,< 1 km,< 2000 MAD,2,0,0
AB400133,2020-2021,Fès-Meknès,FES,Fès,Urbain,Qualifiant,Année 1,Masculin,18,Travail enfant,> 15 km,4000-7000 MAD,5,1,0
AB400134,2018-2019,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Primaire,Année 4,Masculin,9,Éloignement de l'établissement,1–5 km,2000-4000 MAD,1,0,1
AB400135,2016-2017,Souss-Massa,SOU,Taroudannt,Rural,Collégial,Année 2,Féminin,13,Travail enfant,< 1 km,4000-7000 MAD,2,0,1
AB400136,2017-2018,Fès-Meknès,FES,Ifrane,Rural,Collégial,Année 2,Masculin,13,Travail enfant,< 1 km,2000-4000 MAD,1,1,0
AB400137,2020-2021,Casablanca-Settat,CAS,Benslimane,Urbain,Primaire,Année 6,Féminin,10,Difficultés économiques,5–15 km,> 7000 MAD,3,1,0
AB400138,2018-2019,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Qualifiant,Année 2,Masculin,18,Éloignement de l'établissement,> 15 km,< 2000 MAD,2,1,1
AB400139,2018-2019,Oriental,ORI,Guercif,Rural,Collégial,Année 2,Masculin,15,Difficultés économiques,5–15 km,4000-7000 MAD,3,0,1
AB400140,2019-2020,Casablanca-Settat,CAS,Khouribga,Urbain,Primaire,Année 1,Masculin,11,Difficultés scolaires,1–5 km,2000-4000 MAD,6,1,0
AB400141,2019-2020,Casablanca-Settat,CAS,Berrechid,Urbain,Collégial,Année 3,Masculin,15,Éloignement de l'établissement,< 1 km,2000-4000 MAD,7,1,1
AB400142,2015-2016,Marrakech-Safi,MAR,Essaouira,Rural,Collégial,Année 1,Féminin,15,Travail enfant,< 1 km,> 7000 MAD,7,0,0
AB400143,2020-2021,Drâa-Tafilalet,DRA,Ouarzazate,Rural,Collégial,Année 2,Féminin,14,Difficultés économiques,1–5 km,4000-7000 MAD,7,0,0
AB400144,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Urbain,Primaire,Année 1,Masculin,9,Éloignement de l'établissement,1–5 km,< 2000 MAD,4,0,0
AB400145,2017-2018,Laâyoune-Sakia El Hamra,LAA,Tarfaya,Rural,Primaire,Année 6,Féminin,9,Difficultés scolaires,5–15 km,> 7000 MAD,1,0,1
AB400146,2017-2018,Drâa-Tafilalet,DRA,Zagora,Rural,Primaire,Année 4,Masculin,10,Difficultés scolaires,< 1 km,< 2000 MAD,8,0,1
AB400147,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Qualifiant,Année 3,Masculin,17,Handicap,> 15 km,< 2000 MAD,8,0,0
AB400148,2019-2020,Souss-Massa,SOU,Tata,Rural,Primaire,Année 6,Féminin,8,Éloignement de l'établissement,5–15 km,> 7000 MAD,5,0,0
AB400149,2016-2017,Souss-Massa,SOU,Taroudannt,Urbain,Primaire,Année 2,Masculin,11,Difficultés économiques,1–5 km,4000-7000 MAD,6,0,0
AB400150,2019-2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Rural,Qualifiant,Année 1,Masculin,18,Grossesse,< 1 km,> 7000 MAD,4,1,1
AB400151,2018-2019,Laâyoune-Sakia El Hamra,LAA,Es-Semara,Rural,Primaire,Année 5,Masculin,12,Difficultés scolaires,< 1 km,> 7000 MAD,8,1,1
AB400152,2023-2024,Fès-Meknès,FES,Boulemane,Rural,Primaire,Année 3,Masculin,7,Difficultés économiques,5–15 km,< 2000 MAD,8,1,0
AB400153,2020-2021,Oriental,ORI,Figuig,Urbain,Qualifiant,Année 1,Masculin,16,Autre,1–5 km,4000-7000 MAD,8,0,0
AB400154,2016-2017,Oriental,ORI,Taourirt,Rural,Primaire,Année 1,Masculin,8,Handicap,1–5 km,2000-4000 MAD,6,0,1
AB400155,2016-2017,Casablanca-Settat,CAS,Khouribga,Rural,Collégial,Année 2,Féminin,15,Grossesse,< 1 km,4000-7000 MAD,7,0,0
AB400156,2020-2021,Fès-Meknès,FES,Fès,Urbain,Collégial,Année 2,Féminin,14,Difficultés économiques,1–5 km,< 2000 MAD,5,1,1
AB400157,2023-2024,Marrakech-Safi,MAR,Chichaoua,Urbain,Collégial,Année 3,Masculin,15,Travail enfant,> 15 km,4000-7000 MAD,5,0,0
AB400158,2022-2023,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Primaire,Année 4,Féminin,12,Travail enfant,> 15 km,2000-4000 MAD,1,0,0
AB400159,2023-2024,Marrakech-Safi,MAR,Al Haouz,Rural,Qualifiant,Année 3,Féminin,16,Handicap,5–15 km,2000-4000 MAD,5,0,0
AB400160,2019-2020,Casablanca-Settat,CAS,Benslimane,Urbain,Qualifiant,Année 1,Féminin,17,Difficultés économiques,1–5 km,2000-4000 MAD,7,0,1
