annee,region,code_region,poste_budgetaire,budget_alloue_mad,budget_execute_mad,taux_execution
2016,Béni Mellal-Khénifra,BMK,Autres,260007,254807,0.98
2016,Drâa-Tafilalet,DRA,Salaires enseignants,11111497,10333692,0.93
2016,Drâa-Tafilalet,DRA,Infrastructures,1763375,1553533,0.881
2016,Drâa-Tafilalet,DRA,Équipements pédagogiques,681241,604942,0.888
2016,Drâa-Tafilalet,DRA,Appui social (cartables),519945,478349,0.92
2016,Drâa-Tafilalet,DRA,Restauration scolaire,446631,393929,0.882
2016,Drâa-Tafilalet,DRA,Formation continue,208832,180431,0.864
2016,Drâa-Tafilalet,DRA,Transport scolaire,292250,245782,0.841
2016,Drâa-Tafilalet,DRA,Numérique & TIC,317022,261543,0.825
2016,Drâa-Tafilalet,DRA,Autres,151858,138646,0.913
2016,Laâyoune-Sakia El Hamra,LAA,Salaires enseignants,1973964,1547588,0.784
2016,Laâyoune-Sakia El Hamra,LAA,Infrastructures,431322,310983,0.721
2016,Laâyoune-Sakia El Hamra,LAA,Équipements pédagogiques,172628,147424,0.854
2016,Laâyoune-Sakia El Hamra,LAA,Appui social (cartables),133932,119065,0.889
2016,Laâyoune-Sakia El Hamra,LAA,Restauration scolaire,117987,111734,0.947
2016,Laâyoune-Sakia El Hamra,LAA,Formation continue,51831,45145,0.871
2016,Laâyoune-Sakia El Hamra,LAA,Transport scolaire,69961,53800,0.769
2016,Laâyoune-Sakia El Hamra,LAA,Numérique & TIC,66577,52795,0.793
2016,Laâyoune-Sakia El Hamra,LAA,Autres,35383,34180,0.966
2016,Guelmim-Oued Noun,GUE,Salaires enseignants,2876599,2611952,0.908
2016,Guelmim-Oued Noun,GUE,Infrastructures,452062,384252,0.85
2016,Guelmim-Oued Noun,GUE,Équipements pédagogiques,162841,122619,0.753
2016,Guelmim-Oued Noun,GUE,Appui social (cartables),142061,102710,0.723
2016,Guelmim-Oued Noun,GUE,Restauration scolaire,132749,105801,0.797
2016,Guelmim-Oued Noun,GUE,Formation continue,45019,38536,0.856
2016,Guelmim-Oued Noun,GUE,Transport scolaire,88376,66193,0.749
2016,Guelmim-Oued Noun,GUE,Numérique & TIC,99723,76188,0.764
2016,Guelmim-Oued Noun,GUE,Autres,44885,34382,0.766
2016,Dakhla-Oued Eddahab,DAK,Salaires enseignants,934747,850620,0.91
2016,Dakhla-Oued Eddahab,DAK,Infrastructures,198139,164851,0.832
2016,Dakhla-Oued Eddahab,DAK,Équipements pédagogiques,52295,40006,0.765
2016,Dakhla-Oued Eddahab,DAK,Appui social (cartables),48232,43071,0.893
2016,Dakhla-Oued Eddahab,DAK,Restauration scolaire,34198,28281,0.827
2016,Dakhla-Oued Eddahab,DAK,Formation continue,14546,11462,0.788
2016,Dakhla-Oued Eddahab,DAK,Transport scolaire,24192,20345,0.841
2016,Dakhla-Oued Eddahab,DAK,Numérique & TIC,24162,22519,0.932
2016,Dakhla-Oued Eddahab,DAK,Autres,11851,10121,0.854
2017,Casablanca-Settat,CAS,Salaires enseignants,36176962,26951836,0.745
2017,Casablanca-Settat,CAS,Infrastructures,9560892,7878175,0.824
2017,Casablanca-Settat,CAS,Équipements pédagogiques,3262298,2805576,0.86
2017,Casablanca-Settat,CAS,Appui social (cartables),2831180,2579205,0.911
2017,Casablanca-Settat,CAS,Restauration scolaire,1787404,1565766,0.876
2017,Casablanca-Settat,CAS,Formation continue,943250,785727,0.833
2017,Casablanca-Settat,CAS,Transport scolaire,1374280,1082933,0.788
2017,Casablanca-Settat,CAS,Numérique & TIC,1551834,1218190,0.785
2017,Casablanca-Settat,CAS,Autres,639872,464547,0.726
2017,Rabat-Salé-Kénitra,RAB,Salaires enseignants,30036649,28985366,0.965
2017,Rabat-Salé-Kénitra,RAB,Infrastructures,6563029,6438332,0.981
2017,Rabat-Salé-Kénitra,RAB,Équipements pédagogiques,1812635,1607807,0.887
2017,Rabat-Salé-Kénitra,RAB,Appui social (cartables),1421391,1282094,0.902
2017,Rabat-Salé-Kénitra,RAB,Restauration scolaire,1247756,1139201,0.913
2017,Rabat-Salé-Kénitra,RAB,Formation continue,565344,494110,0.874
2017,Rabat-Salé-Kénitra,RAB,Transport scolaire,851264,709954,0.834
2017,Rabat-Salé-Kénitra,RAB,Numérique & TIC,987103,939722,0.952
2017,Rabat-Salé-Kénitra,RAB,Autres,399332,358600,0.898
2017,Marrakech-Safi,MAR,Salaires enseignants,30733621,23142416,0.753
2017,Marrakech-Safi,MAR,Infrastructures,6157586,5049220,0.82
2017,Marrakech-Safi,MAR,Équipements pédagogiques,1963516,1496199,0.762
2017,Marrakech-Safi,MAR,Appui social (cartables),1656008,1326463,0.801
2017,Marrakech-Safi,MAR,Restauration scolaire,1143256,1105529,0.967
2017,Marrakech-Safi,MAR,Formation continue,534789,402696,0.753
2017,Marrakech-Safi,MAR,Transport scolaire,753656,691102,0.917
2017,Marrakech-Safi,MAR,Numérique & TIC,779729,599612,0.769
2017,Marrakech-Safi,MAR,Autres,445181,341008,0.766
2017,Fès-Meknès,FES,Salaires enseignants,22762399,20213010,0.888
2017,Fès-Meknès,FES,Infrastructures,4877712,4648460,0.953
2017,Fès-Meknès,FES,Équipements pédagogiques,1475166,1323224,0.897
2017,Fès-Meknès,FES,Appui social (cartables),1634861,1576006,0.964
2017,Fès-Meknès,FES,Restauration scolaire,1044114,814409,0.78
2017,Fès-Meknès,FES,Formation continue,534202,501616,0.939
2017,Fès-Meknès,FES,Transport scolaire,776896,605202,0.779
2017,Fès-Meknès,FES,Numérique & TIC,770563,592563,0.769
2017,Fès-Meknès,FES,Autres,454135,358312,0.789
2017,Souss-Massa,SOU,Salaires enseignants,14469690,13268705,0.917
2017,Souss-Massa,SOU,Infrastructures,2882014,2608223,0.905
2017,Souss-Massa,SOU,Équipements pédagogiques,970181,864431,0.891
2017,Souss-Massa,SOU,Appui social (cartables),955640,879189,0.92
2017,Souss-Massa,SOU,Restauration scolaire,672578,517212,0.769
2017,Souss-Massa,SOU,Formation continue,347849,266452,0.766
2017,Souss-Massa,SOU,Transport scolaire,425848,403278,0.947
2017,Souss-Massa,SOU,Numérique & TIC,606816,447224,0.737
2017,Souss-Massa,SOU,Autres,219326,179189,0.817
2017,Tanger-Tétouan-Al Hoceïma,TAN,Salaires enseignants,19743476,15735550,0.797
2017,Tanger-Tétouan-Al Hoceïma,TAN,Infrastructures,4048011,3339609,0.825
2017,Tanger-Tétouan-Al Hoceïma,TAN,Équipements pédagogiques,1471225,1131372,0.769
2017,Tanger-Tétouan-Al Hoceïma,TAN,Appui social (cartables),1084017,859626,0.793
2017,Tanger-Tétouan-Al Hoceïma,TAN,Restauration scolaire,1061965,993999,0.936
2017,Tanger-Tétouan-Al Hoceïma,TAN,Formation continue,404591,292115,0.722
2017,Tanger-Tétouan-Al Hoceïma,TAN,Transport scolaire,669395,592414,0.885
2017,Tanger-Tétouan-Al Hoceïma,TAN,Numérique & TIC,719963,666686,0.926
2017,Tanger-Tétouan-Al Hoceïma,TAN,Autres,380929,372929,0.979
2017,Oriental,ORI,Salaires enseignants,13653872,12889255,0.944
2017,Oriental,ORI,Infrastructures,3298944,2573176,0.78
2017,Oriental,ORI,Équipements pédagogiques,864424,755506,0.874
2017,Oriental,ORI,Appui social (cartables),821312,761356,0.927
2017,Oriental,ORI,Restauration scolaire,623620,579967,0.93
2017,Oriental,ORI,Formation continue,270004,201423,0.746
2017,Oriental,ORI,Transport scolaire,411164,296038,0.72
2017,Oriental,ORI,Numérique & TIC,471254,414233,0.879
2017,Oriental,ORI,Autres,249168,190862,0.766
2017,Béni Mellal-Khénifra,BMK,Salaires enseignants,17280495,15535165,0.899
2017,Béni Mellal-Khénifra,BMK,Infrastructures,3614169,3361177,0.93
2017,Béni Mellal-Khénifra,BMK,Équipements pédagogiques,999017,934081,0.935
2017,Béni Mellal-Khénifra,BMK,Appui social (cartables),810716,618576,0.763
2017,Béni Mellal-Khénifra,BMK,Restauration scolaire,664069,483442,0.728
2017,Béni Mellal-Khénifra,BMK,Formation continue,272244,212622,0.781
2017,Béni Mellal-Khénifra,BMK,Transport scolaire,508273,461512,0.908
2017,Béni Mellal-Khénifra,BMK,Numérique & TIC,584315,529389,0.906
2017,Béni Mellal-Khénifra,BMK,Autres,195886,186875,0.954
2017,Drâa-Tafilalet,DRA,Salaires enseignants,9184519,6686330,0.728
2017,Drâa-Tafilalet,DRA,Infrastructures,1815649,1452519,0.8
2017,Drâa-Tafilalet,DRA,Équipements pédagogiques,600730,579104,0.964
2017,Drâa-Tafilalet,DRA,Appui social (cartables),681121,525144,0.771
2017,Drâa-Tafilalet,DRA,Restauration scolaire,495389,387394,0.782
2017,Drâa-Tafilalet,DRA,Formation continue,203132,169615,0.835
2017,Drâa-Tafilalet,DRA,Transport scolaire,334089,291993,0.874
2017,Drâa-Tafilalet,DRA,Numérique & TIC,323779,259671,0.802
2017,Drâa-Tafilalet,DRA,Autres,146960,122712,0.835
2017,Laâyoune-Sakia El Hamra,LAA,Salaires enseignants,2175658,2029889,0.933
2017,Laâyoune-Sakia El Hamra,LAA,Infrastructures,400159,382151,0.955
2017,Laâyoune-Sakia El Hamra,LAA,Équipements pédagogiques,137259,114611,0.835
2017,Laâyoune-Sakia El Hamra,LAA,Appui social (cartables),144687,132678,0.917
2017,Laâyoune-Sakia El Hamra,LAA,Restauration scolaire,93190,79398,0.852
2017,Laâyoune-Sakia El Hamra,LAA,Formation continue,46596,41191,0.884
2017,Laâyoune-Sakia El Hamra,LAA,Transport scolaire,62548,47286,0.756
2017,Laâyoune-Sakia El Hamra,LAA,Numérique & TIC,81618,77456,0.949
2017,Laâyoune-Sakia El Hamra,LAA,Autres,30278,24011,0.793
2017,Guelmim-Oued Noun,GUE,Salaires enseignants,2466651,2219986,0.9
2017,Guelmim-Oued Noun,GUE,Infrastructures,452880,447898,0.989
2017,Guelmim-Oued Noun,GUE,Équipements pédagogiques,180413,154073,0.854
2017,Guelmim-Oued Noun,GUE,Appui social (cartables),149054,119392,0.801
2017,Guelmim-Oued Noun,GUE,Restauration scolaire,126336,119893,0.949
2017,Guelmim-Oued Noun,GUE,Formation continue,55491,41452,0.747
2017,Guelmim-Oued Noun,GUE,Transport scolaire,87498,78311,0.895
2017,Guelmim-Oued Noun,GUE,Numérique & TIC,79783,67736,0.849
2017,Guelmim-Oued Noun,GUE,Autres,37782,31283,0.828
2017,Dakhla-Oued Eddahab,DAK,Salaires enseignants,766830,598894,0.781
2017,Dakhla-Oued Eddahab,DAK,Infrastructures,160875,132561,0.824
2017,Dakhla-Oued Eddahab,DAK,Équipements pédagogiques,62312,50099,0.804
2017,Dakhla-Oued Eddahab,DAK,Appui social (cartables),46120,38095,0.826
2017,Dakhla-Oued Eddahab,DAK,Restauration scolaire,35283,34860,0.988
2017,Dakhla-Oued Eddahab,DAK,Formation continue,15909,12791,0.804
2017,Dakhla-Oued Eddahab,DAK,Transport scolaire,28381,24663,0.869
2017,Dakhla-Oued Eddahab,DAK,Numérique & TIC,33137,32739,0.988
2017,Dakhla-Oued Eddahab,DAK,Autres,12467,9089,0.729
2018,Casablanca-Settat,CAS,Salaires enseignants,39626245,30115946,0.76
2018,Casablanca-Settat,CAS,Infrastructures,9212092,6955129,0.755
2018,Casablanca-Settat,CAS,Équipements pédagogiques,2676551,2523987,0.943
2018,Casablanca-Settat,CAS,Appui social (cartables),2383178,2268785,0.952
2018,Casablanca-Settat,CAS,Restauration scolaire,2229334,1999713,0.897
2018,Casablanca-Settat,CAS,Formation continue,992692,967874,0.975
2018,Casablanca-Settat,CAS,Transport scolaire,1355338,1246911,0.92
2018,Casablanca-Settat,CAS,Numérique & TIC,1284566,1226761,0.955
2018,Casablanca-Settat,CAS,Autres,632513,459204,0.726
2018,Rabat-Salé-Kénitra,RAB,Salaires enseignants,27330935,21564107,0.789
2018,Rabat-Salé-Kénitra,RAB,Infrastructures,5363558,4644841,0.866
2018,Rabat-Salé-Kénitra,RAB,Équipements pédagogiques,2178888,1579694,0.725
2018,Rabat-Salé-Kénitra,RAB,Appui social (cartables),1827686,1655884,0.906
2018,Rabat-Salé-Kénitra,RAB,Restauration scolaire,1360997,1277977,0.939
2018,Rabat-Salé-Kénitra,RAB,Formation continue,507351,404358,0.797
2018,Rabat-Salé-Kénitra,RAB,Transport scolaire,816186,621934,0.762
2018,Rabat-Salé-Kénitra,RAB,Numérique & TIC,1018529,797508,0.783
2018,Rabat-Salé-Kénitra,RAB,Autres,461423,357141,0.774
2018,Marrakech-Safi,MAR,Salaires enseignants,27961737,25640913,0.917
2018,Marrakech-Safi,MAR,Infrastructures,5915661,4691119,0.793
2018,Marrakech-Safi,MAR,Équipements pédagogiques,1676313,1569029,0.936
2018,Marrakech-Safi,MAR,Appui social (cartables),1426000,1370386,0.961
2018,Marrakech-Safi,MAR,Restauration scolaire,1121227,851011,0.759
2018,Marrakech-Safi,MAR,Formation continue,500417,455379,0.91
2018,Marrakech-Safi,MAR,Transport scolaire,857571,627742,0.732
2018,Marrakech-Safi,MAR,Numérique & TIC,813990,646308,0.794
2018,Marrakech-Safi,MAR,Autres,380554,341738,0.898
2018,Fès-Meknès,FES,Salaires enseignants,24342588,20739885,0.852
2018,Fès-Meknès,FES,Infrastructures,5779900,4901355,0.848
2018,Fès-Meknès,FES,Équipements pédagogiques,1826940,1572995,0.861
2018,Fès-Meknès,FES,Appui social (cartables),1728266,1484580,0.859
2018,Fès-Meknès,FES,Restauration scolaire,1353015,1221773,0.903
2018,Fès-Meknès,FES,Formation continue,448768,411520,0.917
2018,Fès-Meknès,FES,Transport scolaire,859723,726466,0.845
2018,Fès-Meknès,FES,Numérique & TIC,1007090,867105,0.861
2018,Fès-Meknès,FES,Autres,375864,307833,0.819
2018,Souss-Massa,SOU,Salaires enseignants,16050210,11572202,0.721
2018,Souss-Massa,SOU,Infrastructures,2880816,2169255,0.753
2018,Souss-Massa,SOU,Équipements pédagogiques,1304319,1133453,0.869
2018,Souss-Massa,SOU,Appui social (cartables),1087422,1073285,0.987
2018,Souss-Massa,SOU,Restauration scolaire,835026,809975,0.97
2018,Souss-Massa,SOU,Formation continue,295177,273334,0.926
2018,Souss-Massa,SOU,Transport scolaire,578829,526735,0.91
2018,Souss-Massa,SOU,Numérique & TIC,561075,481963,0.859
