id_enseignant,annee_scolaire,region,code_region,province,milieu,genre,cycle_enseigne,categorie,matiere,anciennete_annees,salaire_mensuel_mad,heures_semaine,formation_continue,jours_absence
ENS200057,2016-2017,Souss-Massa,SOU,Tiznit,Urbain,Féminin,Qualifiant,Professeur agrégé,Éducation physique,11,7340,25,0,19
ENS200058,2021-2022,Casablanca-Settat,CAS,Settat,Rural,Masculin,Collégial,Instituteur,Français,7,4566,25,0,11
ENS200059,2020-2021,Rabat-Salé-Kénitra,RAB,Salé,Urbain,Féminin,Primaire,Instituteur,Arabe,6,4546,18,0,4
ENS200060,2020-2021,Marrakech-Safi,MAR,Chichaoua,Urbain,Masculin,Primaire,Professeur agrégé,Éducation physique,15,7951,29,0,0
ENS200061,2021-2022,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Féminin,Primaire,Professeur certifié,SVT,16,6746,27,1,18
ENS200062,2016-2017,Casablanca-Settat,CAS,Settat,Rural,Féminin,Qualifiant,Vacataire,Éducation islamique,22,2952,27,0,21
ENS200063,2017-2018,Casablanca-Settat,CAS,Khouribga,Urbain,Féminin,Préscolaire,Instituteur,Éducation islamique,4,4537,27,0,20
ENS200064,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Mdiq-Fnideq,Urbain,Féminin,Collégial,Instituteur,Arabe,4,4935,18,1,7
ENS200065,2020-2021,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,Qualifiant,Instituteur,Sciences,21,5452,23,0,0
ENS200066,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Féminin,Primaire,Contractuel,Physique-Chimie,29,3634,19,1,0
ENS200067,2018-2019,Rabat-Salé-Kénitra,RAB,Khémisset,Rural,Féminin,Collégial,Instituteur,SVT,28,5752,24,1,0
ENS200068,2016-2017,Casablanca-Settat,CAS,Sidi Bennour,Rural,Féminin,Collégial,Professeur certifié,Mathématiques,4,6589,22,0,0
ENS200069,2021-2022,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,Primaire,Professeur agrégé,Arabe,10,8237,27,1,19
ENS200070,2018-2019,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Masculin,Primaire,Professeur certifié,Éducation islamique,15,6427,29,0,0
ENS200071,2015-2016,Marrakech-Safi,MAR,Safi,Urbain,Masculin,Collégial,Professeur certifié,SVT,21,5526,26,1,0
ENS200072,2021-2022,Drâa-Tafilalet,DRA,Zagora,Urbain,Masculin,Qualifiant,Professeur certifié,Arabe,24,6402,29,0,0
ENS200073,2021-2022,Marrakech-Safi,MAR,Essaouira,Rural,Masculin,Primaire,Professeur agrégé,Français,3,7681,24,0,10
ENS200074,2018-2019,Fès-Meknès,FES,Fès,Rural,Masculin,Qualifiant,Professeur certifié,Éducation islamique,3,7591,29,1,0
ENS200075,2016-2017,Casablanca-Settat,CAS,Benslimane,Urbain,Féminin,Primaire,Contractuel,Français,26,4577,18,1,24
ENS200076,2019-2020,Rabat-Salé-Kénitra,RAB,Sidi Slimane,Rural,Féminin,Primaire,Professeur certifié,SVT,32,5251,24,0,0
ENS200077,2017-2018,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Féminin,Primaire,Professeur certifié,SVT,3,8174,27,1,19
ENS200078,2018-2019,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,Primaire,Professeur certifié,Français,27,5705,19,1,0
ENS200079,2016-2017,Souss-Massa,SOU,Taroudannt,Rural,Féminin,Collégial,Professeur agrégé,Mathématiques,7,7712,26,0,0
ENS200080,2019-2020,Fès-Meknès,FES,Taounate,Urbain,Féminin,Qualifiant,Contractuel,Français,5,3465,18,0,23
ENS200081,2022-2023,Oriental,ORI,Taourirt,Urbain,Féminin,Qualifiant,Professeur agrégé,Philosophie,9,8505,20,0,0
ENS200082,2020-2021,Souss-Massa,SOU,Tata,Urbain,Féminin,Primaire,Professeur certifié,Sciences,14,7343,20,1,1
ENS200083,2019-2020,Oriental,ORI,Jerada,Rural,Féminin,Primaire,Professeur certifié,Philosophie,9,5976,23,0,9
ENS200084,2015-2016,Marrakech-Safi,MAR,Al Haouz,Urbain,Féminin,Primaire,Professeur certifié,Philosophie,25,6577,20,0,6
ENS200085,2022-2023,Marrakech-Safi,MAR,Chichaoua,Rural,Masculin,Primaire,Professeur certifié,Éducation physique,28,6376,23,0,10
ENS200086,2018-2019,Laâyoune-Sakia El Hamra,LAA,Laâyoune,Urbain,Féminin,Primaire,Professeur certifié,SVT,25,6513,29,0,0
ENS200087,2017-2018,Rabat-Salé-Kénitra,RAB,Kénitra,Urbain,Masculin,Qualifiant,Professeur certifié,Philosophie,17,6224,29,1,14
ENS200088,2023-2024,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Féminin,Primaire,Professeur certifié,SVT,25,6701,20,0,21
ENS200089,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Larache,Rural,Féminin,Primaire,Professeur certifié,Sciences,12,6898,27,0,3
ENS200090,2019-2020,Casablanca-Settat,CAS,El Jadida,Rural,Masculin,Primaire,Instituteur,Philosophie,33,5202,26,0,0
ENS200091,2019-2020,Souss-Massa,SOU,Agadir-Ida-Ou-Tanane,Urbain,Masculin,Primaire,Instituteur,Sciences,27,5094,31,1,16
ENS200092,2023-2024,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Masculin,Primaire,Contractuel,Physique-Chimie,14,4452,31,1,4
ENS200093,2021-2022,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,Primaire,Instituteur,Philosophie,14,4093,27,0,0
ENS200094,2022-2023,Casablanca-Settat,CAS,El Jadida,Rural,Féminin,Primaire,Professeur certifié,Anglais,17,6089,29,1,0
ENS200095,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Féminin,Primaire,Professeur certifié,Sciences,20,7127,31,1,11
ENS200096,2021-2022,Fès-Meknès,FES,Meknès,Urbain,Masculin,Collégial,Maître d'enseignement,Sciences,4,5028,25,0,6
ENS200097,2017-2018,Marrakech-Safi,MAR,Chichaoua,Urbain,Masculin,Collégial,Instituteur,Éducation physique,25,6058,25,0,0
ENS200098,2021-2022,Tanger-Tétouan-Al Hoceïma,TAN,Al Hoceïma,Rural,Féminin,Qualifiant,Maître d'enseignement,Anglais,14,5363,31,1,1
ENS200099,2017-2018,Souss-Massa,SOU,Inezgane-Ait Melloul,Urbain,Masculin,Collégial,Contractuel,Mathématiques,16,3880,26,1,14
ENS200100,2015-2016,Oriental,ORI,Figuig,Rural,Féminin,Collégial,Contractuel,Anglais,32,4088,27,1,23
ENS200101,2021-2022,Casablanca-Settat,CAS,Settat,Urbain,Masculin,Collégial,Professeur certifié,Éducation physique,33,6853,22,0,3
ENS200102,2023-2024,Marrakech-Safi,MAR,Youssoufia,Rural,Masculin,Primaire,Professeur certifié,Éducation islamique,32,5561,31,0,15
ENS200103,2021-2022,Casablanca-Settat,CAS,Benslimane,Urbain,Masculin,Primaire,Professeur certifié,Arabe,32,7211,20,0,12
ENS200104,2016-2017,Fès-Meknès,FES,Séfrou,Urbain,Féminin,Collégial,Maître d'enseignement,Arabe,29,5595,30,0,13
ENS200105,2017-2018,Marrakech-Safi,MAR,Al Haouz,Rural,Masculin,Primaire,Professeur agrégé,Sciences,29,7610,30,1,0
ENS200106,2016-2017,Casablanca-Settat,CAS,El Jadida,Urbain,Masculin,Primaire,Professeur agrégé,Éducation physique,14,8335,19,0,22
ENS200107,2017-2018,Béni Mellal-Khénifra,BMK,Béni Mellal,Urbain,Féminin,Qualifiant,Professeur certifié,Éducation physique,20,7578,23,1,0
ENS200108,2020-2021,Oriental,ORI,Taourirt,Urbain,Féminin,Primaire,Instituteur,Français,17,4254,24,1,6
ENS200109,2019-2020,Souss-Massa,SOU,Chtouka-Ait Baha,Urbain,Masculin,Collégial,Contractuel,Histoire-Géo,2,4258,26,0,21
ENS200110,2015-2016,Drâa-Tafilalet,DRA,Tinghir,Rural,Féminin,Préscolaire,Professeur certifié,Éducation islamique,3,6819,29,1,20
ENS200111,2017-2018,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Urbain,Masculin,Primaire,Instituteur,Mathématiques,3,4249,25,0,21
ENS200112,2017-2018,Casablanca-Settat,CAS,Settat,Rural,Féminin,Primaire,Professeur certifié,Éducation physique,23,6274,24,1,0
ENS200113,2019-2020,Marrakech-Safi,MAR,Al Haouz,Urbain,Masculin,Primaire,Professeur certifié,Anglais,28,7678,27,1,2
ENS200114,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Masculin,Qualifiant,Contractuel,Mathématiques,21,4071,19,1,0
ENS200115,2016-2017,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Féminin,Primaire,Contractuel,Philosophie,4,3977,31,1,1
ENS200116,2018-2019,Fès-Meknès,FES,Ifrane,Urbain,Féminin,Primaire,Instituteur,Anglais,13,4862,23,0,0
ENS200117,2019-2020,Casablanca-Settat,CAS,Berrechid,Rural,Féminin,Primaire,Contractuel,Histoire-Géo,34,3266,21,1,23
ENS200118,2015-2016,Marrakech-Safi,MAR,Chichaoua,Rural,Féminin,Qualifiant,Vacataire,Histoire-Géo,27,3370,21,0,20
ENS200119,2017-2018,Fès-Meknès,FES,Moulay Yacoub,Rural,Masculin,Primaire,Instituteur,Histoire-Géo,14,5523,18,1,3
ENS200120,2022-2023,Casablanca-Settat,CAS,El Jadida,Rural,Féminin,Qualifiant,Professeur certifié,Français,31,5517,29,0,24
ENS200121,2022-2023,Oriental,ORI,Driouch,Urbain,Masculin,Primaire,Maître d'enseignement,Arabe,26,5924,29,0,0
ENS200122,2020-2021,Drâa-Tafilalet,DRA,Tinghir,Urbain,Masculin,Primaire,Professeur certifié,Physique-Chimie,17,7143,27,0,2
ENS200123,2015-2016,Casablanca-Settat,CAS,Mohammadia,Urbain,Masculin,Collégial,Professeur agrégé,Physique-Chimie,9,8647,30,0,3
ENS200124,2017-2018,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,Primaire,Vacataire,Physique-Chimie,32,2987,20,1,9
ENS200125,2019-2020,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Féminin,Collégial,Contractuel,Philosophie,25,3869,22,1,10
ENS200126,2017-2018,Rabat-Salé-Kénitra,RAB,Sidi Kacem,Rural,Féminin,Collégial,Instituteur,Sciences,14,4821,29,0,0
ENS200127,2019-2020,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Féminin,Préscolaire,Instituteur,SVT,7,2732,19,0,2
ENS200128,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Masculin,Collégial,Maître d'enseignement,Physique-Chimie,17,4796,19,1,0
ENS200129,2015-2016,Fès-Meknès,FES,Meknès,Rural,Masculin,Primaire,Contractuel,Physique-Chimie,31,3693,28,1,23
ENS200130,2018-2019,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Rural,Masculin,Collégial,Professeur certifié,Sciences,15,7393,24,0,0
ENS200131,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Féminin,Primaire,Vacataire,Éducation islamique,29,3590,22,0,0
ENS200132,2022-2023,Fès-Meknès,FES,Boulemane,Urbain,Masculin,Collégial,Professeur certifié,Mathématiques,26,6782,21,1,0
ENS200133,2018-2019,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Urbain,Féminin,Primaire,Vacataire,Éducation physique,7,4890,23,1,0
ENS200134,2016-2017,Tanger-Tétouan-Al Hoceïma,TAN,Fahs-Anjra,Urbain,Féminin,Primaire,Professeur certifié,Histoire-Géo,8,7206,29,0,0
ENS200135,2020-2021,Oriental,ORI,Figuig,Rural,Masculin,Primaire,Vacataire,Philosophie,11,2723,21,1,22
ENS200136,2017-2018,Fès-Meknès,FES,Ifrane,Urbain,Féminin,Primaire,Instituteur,Français,4,3976,21,1,5
ENS200137,2021-2022,Guelmim-Oued Noun,GUE,Assa-Zag,Rural,Masculin,Primaire,Maître d'enseignement,Physique-Chimie,16,5482,31,1,22
ENS200138,2021-2022,Souss-Massa,SOU,Tata,Urbain,Féminin,Primaire,Maître d'enseignement,Sciences,7,6766,29,1,5
ENS200139,2015-2016,Casablanca-Settat,CAS,Benslimane,Rural,Féminin,Collégial,Professeur agrégé,Physique-Chimie,13,8805,20,1,0
ENS200140,2015-2016,Marrakech-Safi,MAR,Marrakech,Rural,Masculin,Primaire,Professeur certifié,SVT,28,6447,26,1,15
ENS200141,2019-2020,Marrakech-Safi,MAR,Safi,Rural,Masculin,Collégial,Professeur certifié,Éducation islamique,5,5526,25,1,0
ENS200142,2020-2021,Marrakech-Safi,MAR,Safi,Rural,Masculin,Collégial,Professeur certifié,Français,30,7872,28,1,5
ENS200143,2020-2021,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Masculin,Primaire,Instituteur,Éducation physique,26,4778,24,1,2
ENS200144,2016-2017,Souss-Massa,SOU,Tata,Rural,Masculin,Primaire,Contractuel,Anglais,22,3305,23,0,5
ENS200145,2023-2024,Marrakech-Safi,MAR,Chichaoua,Urbain,Masculin,Primaire,Professeur agrégé,Éducation physique,32,7676,25,0,7
ENS200146,2019-2020,Drâa-Tafilalet,DRA,Errachidia,Rural,Féminin,Collégial,Maître d'enseignement,Philosophie,19,4554,19,0,1
ENS200147,2021-2022,Casablanca-Settat,CAS,Khouribga,Rural,Masculin,Collégial,Contractuel,Éducation islamique,4,5526,23,1,14
ENS200148,2015-2016,Marrakech-Safi,MAR,Safi,Urbain,Masculin,Collégial,Instituteur,Sciences,16,5998,29,0,24
ENS200149,2016-2017,Marrakech-Safi,MAR,Safi,Rural,Masculin,Collégial,Professeur certifié,Philosophie,29,6436,31,1,0
ENS200150,2017-2018,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Masculin,Primaire,Contractuel,Histoire-Géo,29,5339,24,0,0
ENS200151,2021-2022,Guelmim-Oued Noun,GUE,Tan-Tan,Urbain,Masculin,Collégial,Contractuel,Arabe,9,4057,28,1,5
ENS200152,2019-2020,Tanger-Tétouan-Al Hoceïma,TAN,Chefchaouen,Rural,Masculin,Préscolaire,Instituteur,Éducation physique,15,3703,23,0,24
ENS200153,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tétouan,Rural,Féminin,Primaire,Professeur certifié,Éducation physique,2,5959,25,0,16
ENS200154,2016-2017,Fès-Meknès,FES,Taza,Rural,Masculin,Primaire,Contractuel,Anglais,19,4821,26,0,8
ENS200155,2019-2020,Fès-Meknès,FES,El Hajeb,Rural,Féminin,Qualifiant,Professeur certifié,Anglais,4,5752,23,0,7
ENS200156,2023-2024,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Rural,Féminin,Collégial,Professeur certifié,Français,30,6915,30,0,22
ENS200157,2022-2023,Casablanca-Settat,CAS,El Jadida,Urbain,Masculin,Collégial,Professeur certifié,Français,9,5947,31,0,0
ENS200158,2019-2020,Béni Mellal-Khénifra,BMK,Fquih Ben Salah,Urbain,Masculin,Collégial,Vacataire,SVT,26,3078,31,1,0
ENS200159,2015-2016,Casablanca-Settat,CAS,Berrechid,Rural,Féminin,Primaire,Maître d'enseignement,Histoire-Géo,11,5849,18,0,11
ENS200160,2015-2016,Fès-Meknès,FES,Séfrou,Urbain,Masculin,Primaire,Maître d'enseignement,Histoire-Géo,5,6487,30,0,24
ENS200161,2020-2021,Casablanca-Settat,CAS,Sidi Bennour,Urbain,Masculin,Collégial,Maître d'enseignement,Physique-Chimie,2,5190,26,0,0
ENS200162,2019-2020,Marrakech-Safi,MAR,Safi,Urbain,Masculin,Primaire,Professeur agrégé,Anglais,17,7899,22,1,24
ENS200163,2016-2017,Casablanca-Settat,CAS,Berrechid,Urbain,Masculin,Qualifiant,Maître d'enseignement,Histoire-Géo,13,5217,24,1,20
ENS200164,2018-2019,Rabat-Salé-Kénitra,RAB,Rabat,Rural,Masculin,Qualifiant,Professeur certifié,Philosophie,18,6775,22,0,8
ENS200165,2015-2016,Fès-Meknès,FES,Meknès,Rural,Masculin,Collégial,Instituteur,Sciences,18,5389,29,1,0
ENS200166,2021-2022,Rabat-Salé-Kénitra,RAB,Skhirate-Témara,Rural,Masculin,Collégial,Instituteur,SVT,7,5384,25,1,8
ENS200167,2023-2024,Casablanca-Settat,CAS,Khouribga,Rural,Masculin,Primaire,Contractuel,Histoire-Géo,12,5069,26,0,0
ENS200168,2023-2024,Marrakech-Safi,MAR,Essaouira,Rural,Masculin,Collégial,Maître d'enseignement,Anglais,15,5560,18,1,0
ENS200169,2019-2020,Béni Mellal-Khénifra,BMK,Béni Mellal,Rural,Masculin,Primaire,Professeur certifié,Physique-Chimie,30,5101,24,1,6
ENS200170,2018-2019,Marrakech-Safi,MAR,Youssoufia,Urbain,Masculin,Primaire,Instituteur,Éducation physique,24,3260,20,0,2
ENS200171,2022-2023,Casablanca-Settat,CAS,Settat,Rural,Masculin,Primaire,Contractuel,Philosophie,4,3833,31,1,14
ENS200172,2015-2016,Guelmim-Oued Noun,GUE,Tan-Tan,Urbain,Masculin,Collégial,Instituteur,Éducation islamique,22,5741,23,0,7
ENS200173,2018-2019,Marrakech-Safi,MAR,El Kelaa des Sraghna,Urbain,Féminin,Qualifiant,Professeur certifié,Français,5,6870,22,0,6
ENS200174,2016-2017,Casablanca-Settat,CAS,Casablanca,Urbain,Féminin,Primaire,Professeur certifié,Physique-Chimie,2,7788,28,1,0
ENS200175,2022-2023,Rabat-Salé-Kénitra,RAB,Khémisset,Urbain,Masculin,Collégial,Maître d'enseignement,Arabe,6,5126,19,0,2
ENS200176,2016-2017,Casablanca-Settat,CAS,Benslimane,Rural,Masculin,Collégial,Maître d'enseignement,Histoire-Géo,28,5252,19,1,22
ENS200177,2019-2020,Fès-Meknès,FES,Taza,Urbain,Masculin,Qualifiant,Instituteur,Éducation islamique,32,4675,20,0,24
ENS200178,2018-2019,Casablanca-Settat,CAS,Mohammadia,Rural,Masculin,Primaire,Professeur agrégé,Sciences,28,8538,18,1,15
ENS200179,2016-2017,Fès-Meknès,FES,Moulay Yacoub,Rural,Masculin,Primaire,Vacataire,Sciences,22,3236,20,0,0
ENS200180,2020-2021,Béni Mellal-Khénifra,BMK,Azilal,Urbain,Masculin,Primaire,Professeur agrégé,Mathématiques,2,9687,19,1,0
ENS200181,2016-2017,Casablanca-Settat,CAS,Mohammadia,Rural,Féminin,Collégial,Vacataire,Mathématiques,1,2664,18,0,0
ENS200182,2020-2021,Casablanca-Settat,CAS,El Jadida,Urbain,Féminin,Collégial,Professeur certifié,Philosophie,24,5865,30,0,0
ENS200183,2020-2021,Marrakech-Safi,MAR,Essaouira,Urbain,Féminin,Primaire,Professeur certifié,Éducation physique,14,7483,28,1,13
ENS200184,2019-2020,Casablanca-Settat,CAS,Berrechid,Urbain,Masculin,Collégial,Instituteur,Français,20,5304,19,1,0
ENS200185,2022-2023,Tanger-Tétouan-Al Hoceïma,TAN,Tanger-Assilah,Urbain,Féminin,Collégial,Instituteur,Sciences,10,5315,30,1,2
